"Time","L Raw X [px]","L Raw Y [px]","R Raw X [px]","R Raw Y [px]","L Dia X [px]","L Dia Y [px]","L Mapped Diameter [mm]","R Dia X [px]","R Dia Y [px]","R Mapped Diameter [mm]","L CR1 X [px]","L CR1 Y [px]","L CR2 X [px]","L CR2 Y [px]","R CR1 X [px]","R CR1 Y [px]","R CR2 X [px]","R CR2 Y [px]","L POR X [px]","L POR Y [px]","R POR X [px]","R POR Y [px]","Timing","Latency","L Plane","R Plane","L Object Hit","R Object Hit","H POS X [mm]","H POS Y [mm]","H POS Z [mm]","H ROT X [°]","H ROT Y [°]","H ROT Z [°]","L EPOS X","L EPOS Y","L EPOS Z","R EPOS X","R EPOS Y","R EPOS Z","L GVEC X","L GVEC Y","L GVEC Z","R GVEC X","R GVEC Y","R GVEC Z","Frame","Event Info"
1963137257,564.0855,511.4329,782.6261,499.4325,11.0619,11.0619,3.3225,11.1603,11.1603,3.3737,562.146,517.2899,567.5007,517.4995,780.0063,505.3615,785.4861,505.021,669.1989,314.1542,669.1989,314.1542,0,1827,1,1,"-","-",0,0,0,0,0,0,21.9928,-1.5779,695.7052,-41.8288,1.9947,696.8465,-0.0207,0.3624,-0.9318,0.0833,0.3848,-0.9192,17959,"Fixation"
1963154043,564.0869,511.3616,782.7214,499.4718,10.9934,10.9934,3.3211,11.144,11.144,3.3724,562.1508,517.1638,567.4985,517.4946,780.1597,505.1558,785.6139,505.023,668.9265,321.3531,668.9265,321.3531,0,2900,1,1,"-","-",0,0,0,0,0,0,21.9834,-1.5581,695.4196,-41.8115,2.0217,695.8743,-0.0208,0.3626,-0.9317,0.0861,0.3758,-0.9227,17959,"Fixation"
1963170632,564.0914,511.3809,782.8365,499.4064,11.1242,11.1242,3.3269,11.2697,11.2697,3.3785,562.15,517.1633,567.493,517.4925,780.3928,505.0253,785.617,505.0259,668.4387,324.4762,668.4387,324.4762,0,1934,1,1,"-","-",0,0,0,0,0,0,21.9767,-1.5571,695.1804,-41.8671,2.0414,696.2274,-0.0213,0.3614,-0.9322,0.0863,0.3761,-0.9226,17959,"Fixation"
1963187306,564.0862,511.3645,782.7971,499.4374,10.9871,10.9871,3.3238,11.2584,11.2584,3.3832,562.144,517.2964,567.5039,517.5019,780.3981,505.026,785.6203,505.0272,668.7172,326.0509,668.7172,326.0509,0,3003,1,1,"-","-",0,0,0,0,0,0,21.9662,-1.5773,694.8684,-41.8887,2.0421,696.5661,-0.0207,0.3657,-0.9305,0.0888,0.3743,-0.923,17960,"Fixation"
1963204183,564.0844,511.5141,782.8358,499.4333,10.9616,10.9616,3.319,11.2289,11.2289,3.385,562.0099,517.6496,567.5063,517.4996,780.3884,505.0304,785.7713,505.2105,668.3443,326.355,668.3443,326.355,0,3070,1,1,"-","-",0,0,0,0,0,0,21.9535,-1.6261,693.8574,-41.875,2.013,695.9915,-0.0247,0.3663,-0.9302,0.0906,0.3799,-0.9206,17960,"Fixation"
1963220616,564.0657,511.6475,782.8025,499.5884,11.0257,11.0257,3.3178,11.0965,11.0965,3.3778,562.0084,517.6584,567.5076,517.4951,780.0245,505.5201,785.5933,505.2002,666.2838,328.922,666.2838,328.922,0,1976,1,1,"-","-",0,0,0,0,0,0,21.9234,-1.6245,692.906,-41.7058,1.9386,694.492,-0.0238,0.3594,-0.9329,0.0768,0.3848,-0.9198,17960,"Fixation"
1963237510,563.8327,511.7991,782.729,499.8136,11.0247,11.0247,3.316,11.2779,11.2779,3.3805,561.867,517.8555,567.3744,517.6302,780.0211,505.6625,785.6183,506.0015,664.6185,237.3096,664.6185,237.3096,0,2267,1,1,"-","-",0,0,0,0,0,0,21.9341,-1.6707,691.9815,-41.617,1.7969,692.9588,-0.0181,0.3603,-0.9327,0.0813,0.3987,-0.9135,17960,"Fixation"
1963254381,563.3648,512.0921,782.2359,499.9693,11.0954,11.0954,3.3188,11.006,11.006,3.3686,561.5312,518.02,566.7715,518.2015,779.8219,505.8157,784.9991,505.665,664.6972,238.2041,664.6972,238.2041,0,2310,1,1,"-","-",0,0,0,0,0,0,22.0892,-1.7792,692.5647,-41.5473,1.8258,693.7939,-0.0182,0.3644,-0.931,0.0862,0.3842,-0.9192,17960,"Fixation"
1963270713,563.1275,512.179,781.7924,500.1016,10.8848,10.8848,3.3092,11.0566,11.0566,3.3627,561.173,518.1637,566.6139,518.0243,779.5244,506.0108,784.6227,506.0129,664.4762,238.7865,664.4762,238.7865,0,4024,1,1,"-","-",0,0,0,0,0,0,22.1467,-1.7729,692.0117,-41.5228,1.7497,695.0306,-0.0197,0.3589,-0.9332,0.092,0.393,-0.9149,17960,"Fixation"
1963287351,562.915,512.4709,781.7549,500.3039,10.9024,10.9024,3.3012,11.1339,11.1339,3.3634,561.0186,518.6553,566.5935,518.207,779.5972,506.1864,784.632,506.0196,666.1396,239.4192,666.1396,239.4192,0,32879,1,1,"-","-",0,0,0,0,0,0,22.1336,-1.8677,690.8069,-41.6261,1.7269,696.5587,-0.0122,0.3614,-0.9323,0.0966,0.387,-0.917,17960,"Fixation"
