"Time","L Raw X [px]","L Raw Y [px]","R Raw X [px]","R Raw Y [px]","L Dia X [px]","L Dia Y [px]","L Mapped Diameter [mm]","R Dia X [px]","R Dia Y [px]","R Mapped Diameter [mm]","L CR1 X [px]","L CR1 Y [px]","L CR2 X [px]","L CR2 Y [px]","R CR1 X [px]","R CR1 Y [px]","R CR2 X [px]","R CR2 Y [px]","L POR X [px]","L POR Y [px]","R POR X [px]","R POR Y [px]","Timing","Latency","L Plane","R Plane","L Object Hit","R Object Hit","H POS X [mm]","H POS Y [mm]","H POS Z [mm]","H ROT X [°]","H ROT Y [°]","H ROT Z [°]","L EPOS X","L EPOS Y","L EPOS Z","R EPOS X","R EPOS Y","R EPOS Z","L GVEC X","L GVEC Y","L GVEC Z","R GVEC X","R GVEC Y","R GVEC Z","Frame","Event Info"
87166832137,768.3604,315.6625,1019.4443,317.1794,10.6807,10.6807,3.1639,6.8038,6.8038,2.2942,763.9917,323.5012,769.2702,323.2951,1014.8595,324.4002,1024.2717,323,552.5464,283.4179,552.5464,283.4179,0,2645,1,1,"-","-",0,0,0,0,0,0,-36.2963,54.0473,681.6338,-99.0225,49.0989,620.3279,-0.0811,0.3732,-0.9242,0.2274,0.292,-0.929,6334,"Saccade"
87166848774,768.2867,315.5467,1019.0927,317.0112,10.6899,10.6899,3.1654,6.393,6.393,2.1895,763.7871,323.205,769.2532,323.1671,1014.3527,324.293,1024.2349,323,555.0067,290.4508,555.0067,290.4508,0,4935,1,1,"-","-",0,0,0,0,0,0,-36.2646,54.1076,681.6331,-97.8991,48.5886,613.7179,-0.0832,0.3682,-0.926,0.2312,0.2958,-0.9269,6334,"Saccade"
87166865366,768.1339,315.4128,1019.1353,316.9378,10.332,10.332,3.1479,6.7376,6.7376,2.1228,763.7903,323.1964,769.1363,323.1544,1017,331,1023,331,415.7765,162.6598,415.7765,162.6598,0,1844,1,1,"-","-",0,0,0,0,0,0,-36.2822,54.1616,682.271,-98.4086,46.8613,615.8468,-0.0779,0.3748,-0.9238,0,0,0,6334,"Saccade"
87166885463,767.9397,315.2327,1018.6428,316.9118,10.4335,10.4335,3.1384,7.8387,7.8387,2.1244,763.3872,323.0036,768.9682,323.0116,1017,331,1023,331,413.6989,163.5318,413.6989,163.5318,0,3330,1,1,"-","-",0,0,0,0,0,0,-36.1667,54.1587,681.6354,-98.7239,47.0115,617.8199,-0.0832,0.3752,-0.9232,0,0,0,6335,"Saccade"
87166898758,767.8674,315.0502,1018.7207,316.5906,10.317,10.317,3.1245,7.8443,7.8443,2.1271,763.3704,322.9994,768.8214,322.8608,1017,331,1023,331,414.7452,163.1553,414.7452,163.1553,0,17380,1,1,"-","-",0,0,0,0,0,0,-36.1474,54.1875,681.7153,-99.0161,47.1506,619.6486,-0.0839,0.3806,-0.9209,0,0,0,6335,"Saccade"
87166916698,769.5777,314.7337,1022.9078,317.1236,10.313,10.313,3.1105,10.3168,10.3168,2.1271,763.8631,322.8394,769.9693,322.3742,1018,330,1025,330,349.3364,162.2446,349.3364,162.2446,0,3782,1,1,"-","-",0,0,0,0,0,0,-36.2223,54.0387,678.7018,-99.0722,47.2481,617.5448,-0.1339,0.3804,-0.9151,0,0,0,6335,"Saccade"
87166932443,769.8086,314.5749,1022.8896,316.1584,10.3409,10.3409,3.0986,9.6976,9.6976,2.219,763.9997,322.4946,769.9697,322.0344,1015.4509,323,1022.298,322,370.9038,207.7301,370.9038,207.7301,0,3710,1,1,"-","-",0,0,0,0,0,0,-36.1241,53.9611,676.5004,-98.1668,49.084,616.1446,-0.1424,0.3698,-0.9181,0.0149,0.2849,-0.9584,6335,"Saccade"
87166948996,769.5849,314.418,1022.3559,316.0703,10.506,10.506,3.099,9.394,9.394,2.2802,763.9983,322.3466,769.2612,322.1596,1018,330,1024,330,322.1959,69.6144,322.1959,69.6144,0,3125,1,1,"-","-",0,0,0,0,0,0,-36.101,54.0835,677.9739,-99.0275,47.2921,618.0933,-0.1506,0.3782,-0.9134,0,0,0,6335,"Fixation"
87166965419,769.2974,314.2753,1022.615,315.52,10.5934,10.5934,3.1034,8.4163,8.4163,2.2831,763.3264,322.1453,768.9975,322.014,1017,330,1023,330,305.8309,71.7581,305.8309,71.7581,0,5583,1,1,"-","-",0,0,0,0,0,0,-35.9275,54.071,677.2101,-99.0565,47.4305,619.9012,-0.1607,0.3767,-0.9123,0,0,0,6335,"Fixation"
87166982178,768.9442,314.2307,1022.1454,315.6228,10.3225,10.3225,3.0919,8.5083,8.5083,2.2911,763.1635,322.1416,768.8271,321.8618,1017,330,1023,330,311.9499,73.9436,311.9499,73.9436,0,29392,1,1,"-","-",0,0,0,0,0,0,-35.8445,54.0398,676.5405,-99.3242,47.5587,621.5767,-0.15,0.3741,-0.9152,0,0,0,6336,"Fixation"
