"Time","L Raw X [px]","L Raw Y [px]","R Raw X [px]","R Raw Y [px]","L Dia X [px]","L Dia Y [px]","L Mapped Diameter [mm]","R Dia X [px]","R Dia Y [px]","R Mapped Diameter [mm]","L CR1 X [px]","L CR1 Y [px]","L CR2 X [px]","L CR2 Y [px]","R CR1 X [px]","R CR1 Y [px]","R CR2 X [px]","R CR2 Y [px]","L POR X [px]","L POR Y [px]","R POR X [px]","R POR Y [px]","Timing","Latency","L Plane","R Plane","L Object Hit","R Object Hit","H POS X [mm]","H POS Y [mm]","H POS Z [mm]","H ROT X [°]","H ROT Y [°]","H ROT Z [°]","L EPOS X","L EPOS Y","L EPOS Z","R EPOS X","R EPOS Y","R EPOS Z","L GVEC X","L GVEC Y","L GVEC Z","R GVEC X","R GVEC Y","R GVEC Z","Frame","Event Info"
87949612829,963.8409,315.4867,1222.8224,401.3632,18.0144,18.0144,2.9681,10.5934,10.5934,2.7243,967,320,972,321,1221.9466,394.2963,1227.7437,393.8646,841.5894,787.475,841.5894,787.475,0,3683,1,1,"-","-",0,0,0,0,0,0,-87.6853,50.9512,632.854,-148.4075,29.9155,603.4519,0.412,0.1972,-0.8896,0.2694,0.012,-0.9629,14162,"Saccade"
87949629351,960.0696,322.754,1221.967,402.9409,15.355,15.355,2.9681,14.7407,14.7407,2.7243,966,322,970,323,1221.695,395.8446,1227.3149,395.8931,687.807,1025.8921,687.807,1025.8921,0,2069,1,1,"-","-",0,0,0,0,0,0,-89.1318,51.4882,646.2468,-149.359,29.6682,607.6767,0,0,0,0.2953,0.0119,-0.9553,14162,"Saccade"
87949646000,964.5376,322.8296,1222.2622,393.0276,18.6001,18.6001,2.9681,13.6229,13.6229,2.7243,966,324,970,325,1221.8986,398.2185,1227.122,398.0087,858.1953,783.631,858.1953,783.631,0,1922,1,1,"-","-",0,0,0,0,0,0,-90.8443,51.9236,658.663,-150.8346,29.3827,613.6799,0.3068,-0.0028,-0.9518,0.3983,0.2246,-0.8893,14162,"Saccade"
87949662726,964.1844,322.1317,1224.6286,393.1618,23.6981,23.6981,3.6398,10.0651,10.0651,2.7294,969.5662,318.9952,975.9704,319.0069,1225,393,1232,392,961.7192,1042.7079,961.7192,1042.7079,0,2112,1,1,"-","-",0,0,0,0,0,0,-91.7834,53.2171,655.9037,-151.3741,30.7279,611.6733,0,0,0,0.4429,-0.0031,-0.8966,14162,"Saccade"
87949679408,973.5405,318.484,1224.8822,394.6628,12.2316,12.2316,3.6161,10.5727,10.5727,2.7608,970.3782,320.8956,977.0826,321.0062,1221.9025,400.3802,1227.555,400.1993,616.5988,714.8788,616.5988,714.8788,0,3351,1,1,"-","-",0,0,0,0,0,0,-91.5331,52.3832,652.2236,-151.2546,28.8899,615.1533,0.1241,0.0482,-0.9911,0.291,0.2512,-0.9232,14162,"Saccade"
87949696018,972.8051,315.8738,1223.8391,395.0716,11.4093,11.4093,3.5525,11.0601,11.0601,2.8139,970.3693,321.9035,976.7384,322.1301,1221.491,400.4809,1227.0006,400.0281,655.0776,509.2507,655.0776,509.2507,0,11583,1,1,"-","-",0,0,0,0,0,0,-91.1808,51.9192,650.0637,-152.099,29.0847,619.1006,0.1468,0.2674,-0.9523,0.3177,0.225,-0.9211,14163,"Saccade"
87949712992,972.2758,316.042,1222.9772,394.7886,11.0166,11.0166,3.4794,11.0285,11.0285,2.8574,970.3307,322.8801,976.323,322.8832,1224,398,1230,397,833.0421,569.2369,833.0421,569.2369,0,2161,1,1,"-","-",0,0,0,0,0,0,-91.0578,51.6496,649.6352,-153.1564,29.867,620.473,0.1613,0.3048,-0.9387,0.472,0.1135,-0.8743,14163,"Saccade"
87949729644,972.1104,316.5801,1222.1697,394.0872,11.3456,11.3456,3.4327,11.0752,11.0752,2.8966,969.8965,323.1234,976.622,323.1314,1224,398,1230,397,847.2069,449.2714,847.2069,449.2714,0,3415,1,1,"-","-",0,0,0,0,0,0,-90.5802,51.3197,646.3458,-153.4704,29.9282,621.7449,0.1676,0.2877,-0.9429,0.5054,0.1594,-0.848,14163,"Saccade"
87949746160,972.17,316.9013,1221.565,393.3957,11.1503,11.1503,3.3831,11.0518,11.0518,2.9287,970.0491,323.6396,976.3037,323.7016,1224,399,1230,398,854.6237,315.1715,854.6237,315.1715,0,3885,1,1,"-","-",0,0,0,0,0,0,-90.3795,51.0731,645.0827,-153.7614,29.7231,622.9239,0.1588,0.2989,-0.941,0.5265,0.2691,-0.8065,14163,"Saccade"
87949762762,971.8551,317.2777,1220.8102,392.3053,11.4009,11.4009,3.3527,11.0323,11.0323,2.9551,969.3651,323.9033,975.9798,324.0156,1224,399,1230,398,866.7358,212.844,866.7358,212.844,0,2868,1,1,"-","-",0,0,0,0,0,0,-89.8857,50.7917,642.5235,-154.0311,29.7753,624.0165,0.1485,0.2932,-0.9445,0.5472,0.3586,-0.7563,14163,"Saccade"
87949779357,971.1446,317.2562,1219.5113,391.324,11.123,11.123,3.3127,11.0303,11.0303,2.9776,969.0271,324.0258,975.2806,323.9089,1223,399,1229,398,883.0944,106.4325,883.0944,106.4325,0,42245,1,1,"-","-",0,0,0,0,0,0,-89.6093,50.7137,641.5546,-154.0188,29.8237,625.0317,0.1585,0.294,-0.9426,0.5473,0.4413,-0.7111,14164,"Saccade"
87949821620,969.0072,316.393,1216.8125,388.7307,10.8698,10.8698,3.2663,10.7609,10.7609,2.9833,966.7318,323.1367,972.9464,323.0329,1221,398,1227,397,624.555,306.8407,624.555,306.8407,0,5753,1,1,"-","-",0,0,0,0,0,0,-88.8824,50.8933,640.8168,-153.7255,30.132,625.9776,0.1479,0.2922,-0.9448,0,0,0,14164,"Fixation"
87949829607,967.9144,315.869,1215.3133,387.3975,11.4842,11.4842,3.2597,10.6854,10.6854,2.9849,965.6974,322.2461,971.7349,322.3467,1220,397,1226,396,619.9071,316.9458,619.9071,316.9458,0,3173,1,1,"-","-",0,0,0,0,0,0,-88.5867,51.1103,640.8698,-153.6778,30.4378,626.8567,0.1465,0.2778,-0.9494,0,0,0,14164,"Fixation"
87949845957,966.6903,315.2561,1213.5028,386.0493,11.766,11.766,3.2689,10.0084,10.0084,2.9528,964.3427,321.8924,970.2999,321.8965,1218,397,1224,396,612.3247,311.3755,612.3247,311.3755,0,1990,1,1,"-","-",0,0,0,0,0,0,-88.2666,51.2512,641.2766,-153.3508,30.4776,627.6764,0.1361,0.2891,-0.9476,0,0,0,14164,"Fixation"
87949862682,965.1917,314.8645,1211.6163,384.8718,11.3676,11.3676,3.2562,10.0287,10.0287,2.928,962.8413,321.2472,968.8771,321.3469,1217,396,1223,395,610.7093,317.2854,610.7093,317.2854,0,2227,1,1,"-","-",0,0,0,0,0,0,-87.8766,51.4145,641.3065,-153.2728,30.7788,628.4386,0.1381,0.278,-0.9506,0,0,0,14164,"Fixation"
87949889467,962.991,314.8457,1209.5686,383.7717,11.5303,11.5303,3.2538,10.885,10.885,2.9513,960.7219,321.2484,966.8248,320.9344,1215,396,1221,395,611.4279,327.8174,611.4279,327.8174,0,4777,1,1,"-","-",0,0,0,0,0,0,-87.2819,51.4508,641.0687,-152.9172,30.8137,629.1499,0.1441,0.2677,-0.9527,0,0,0,14165,"Fixation"
