"Time","L Raw X [px]","L Raw Y [px]","R Raw X [px]","R Raw Y [px]","L Dia X [px]","L Dia Y [px]","L Mapped Diameter [mm]","R Dia X [px]","R Dia Y [px]","R Mapped Diameter [mm]","L CR1 X [px]","L CR1 Y [px]","L CR2 X [px]","L CR2 Y [px]","R CR1 X [px]","R CR1 Y [px]","R CR2 X [px]","R CR2 Y [px]","L POR X [px]","L POR Y [px]","R POR X [px]","R POR Y [px]","Timing","Latency","L Plane","R Plane","L Object Hit","R Object Hit","H POS X [mm]","H POS Y [mm]","H POS Z [mm]","H ROT X [°]","H ROT Y [°]","H ROT Z [°]","L EPOS X","L EPOS Y","L EPOS Z","R EPOS X","R EPOS Y","R EPOS Z","L GVEC X","L GVEC Y","L GVEC Z","R GVEC X","R GVEC Y","R GVEC Z","Frame","Event Info"
72707120779,650.5622,546.7278,885.6436,541.8938,11.2101,11.2101,3.0908,11.2699,11.2699,3.1989,650.6541,554.0173,656.9955,554.3508,885.8553,549.1592,891.8437,549.1472,878.5612,247.7056,878.5612,247.7056,0,1978,1,1,"-","-",0,0,0,0,0,0,-3.7096,-11.3158,638.086,-67.3235,-10.0487,643.3563,0.152,0.4489,-0.8806,0.2737,0.4436,-0.8534,2543,"Saccade"
72707137877,650.6994,546.6728,885.9093,542.0142,10.9948,10.9948,3.0818,11.4621,11.4621,3.2018,650.8603,554.1601,656.9971,554.3523,885.8666,549.1662,891.8589,549.1553,874.2553,249.3912,874.2553,249.3912,0,9038,1,1,"-","-",0,0,0,0,0,0,-3.7384,-11.3381,638.2478,-67.3541,-10.0548,643.614,0.1492,0.4567,-0.877,0.2587,0.4363,-0.8618,2543,"Saccade"
72707154186,650.6919,546.7142,885.8873,541.9963,10.968,10.968,3.0738,11.4878,11.4878,3.2056,651.0004,554.3508,656.9993,554.3496,886.0034,549.3503,892.0002,549.3464,875.7598,245.6649,875.7598,245.6649,0,10745,1,1,"-","-",0,0,0,0,0,0,-3.7618,-11.3767,638.993,-67.4147,-10.109,643.8333,0.1544,0.4611,-0.8738,0.2678,0.4499,-0.852,2544,"Saccade"
72707170822,650.8263,546.7158,886.1429,541.9788,11.0506,11.0506,3.072,11.4042,11.4042,3.2047,651.002,554.3506,657.0005,554.3485,886.0059,549.3493,892.0049,549.3457,870.5694,245.7848,870.5694,245.7848,0,2180,1,1,"-","-",0,0,0,0,0,0,-3.7663,-11.3888,639.6853,-67.4359,-10.1118,644.0268,0.1457,0.4607,-0.8755,0.2522,0.451,-0.8562,2544,"Saccade"
72707187524,651.2427,546.9855,885.7702,542.2651,11.031,11.031,3.0692,11.3984,11.3984,3.2038,651.0056,554.3592,657.225,554.3862,885.9956,549.5039,891.9897,549.5022,869.6765,252.545,869.6765,252.545,0,2035,1,1,"-","-",0,0,0,0,0,0,-3.7952,-11.3896,639.3858,-67.4535,-10.1571,644.2276,0.1268,0.4435,-0.8872,0.2751,0.443,-0.8533,2544,"Saccade"
72707204198,653.2288,547.0729,886.2156,548.1039,9.2156,9.2156,2.9765,14.6949,14.6949,3.3703,652.0014,554.3563,658.0016,554.4948,884.7542,549.1557,890.8226,549.1363,734.9828,711.0779,734.9828,711.0779,0,2122,1,1,"-","-",0,0,0,0,0,0,-4.0376,-11.4156,640.0418,-67.1132,-10.0582,644.0918,0.055,0.4365,-0.898,0.1851,0.0361,-0.9821,2544,"Blink"
72707221539,642.398,557.9215,904.1441,562.8582,16.8626,16.8626,2.9765,5.8345,5.8345,3.3703,651.0941,554,657,554,886,549,892,549,0,0,0,0,0,3032,1,1,"-","-",0,0,0,0,0,0,-3.7868,-11.3193,641.071,-67.4591,-10.0214,644.2619,0,0,0,0,0,0,2544,"Blink"
72707260248,0,0,0,0,0,0,2.9765,0,0,3.3703,0,0,0,0,0,0,0,0,-2,-91,-2,-91,0,3170,-1,-1,"-","-",0,0,0,0,0,0,-3.7868,-11.3193,641.071,-67.4591,-10.0214,644.2619,0,0,0,0,0,0,2545,"Blink"
72707263436,0,0,0,0,0,0,2.9765,0,0,3.3703,0,0,0,0,0,0,0,0,-2,-91,-2,-91,0,11721,-1,-1,"-","-",0,0,0,0,0,0,-3.7868,-11.3193,641.071,-67.4591,-10.0214,644.2619,0,0,0,0,0,0,2545,"Blink"
72707275171,0,0,0,0,0,0,2.9765,0,0,3.3703,0,0,0,0,890,563,898,562,-2,-91,-2,-91,0,15446,-1,-1,"-","-",0,0,0,0,0,0,-3.7868,-11.3193,641.071,-68.1084,-13.5356,637.6189,0,0,0,0,0,0,2545,"Blink"
