"Time","L Raw X [px]","L Raw Y [px]","R Raw X [px]","R Raw Y [px]","L Dia X [px]","L Dia Y [px]","L Mapped Diameter [mm]","R Dia X [px]","R Dia Y [px]","R Mapped Diameter [mm]","L CR1 X [px]","L CR1 Y [px]","L CR2 X [px]","L CR2 Y [px]","R CR1 X [px]","R CR1 Y [px]","R CR2 X [px]","R CR2 Y [px]","L POR X [px]","L POR Y [px]","R POR X [px]","R POR Y [px]","Timing","Latency","L Plane","R Plane","L Object Hit","R Object Hit","H POS X [mm]","H POS Y [mm]","H POS Z [mm]","H ROT X [°]","H ROT Y [°]","H ROT Z [°]","L EPOS X","L EPOS Y","L EPOS Z","R EPOS X","R EPOS Y","R EPOS Z","L GVEC X","L GVEC Y","L GVEC Z","R GVEC X","R GVEC Y","R GVEC Z","Frame","Event Info"
8811522877,553.3323,464.385,802.0091,459.6779,11.8346,11.8346,3.1652,11.835,11.835,3.0681,550.9849,471.3713,557.9981,471.5097,797.8358,466.2937,804.6452,466.2788,596.801,527.3924,596.801,527.3924,0,1991,1,1,"-","-",0,0,0,0,0,0,21.5037,10.1965,598.0154,-40.3021,11.4225,594.3796,-0.0967,0.3349,-0.9373,0.0798,0.3027,-0.9497,5386,"Fixation"
8811539726,553.3747,464.5599,802.0265,459.7058,11.9538,11.9538,3.1532,11.9771,11.9771,3.072,550.9867,471.6553,558.0042,471.5058,797.8293,466.7352,804.9929,466.5205,598.9722,524.3469,598.9722,524.3469,0,10478,1,1,"-","-",0,0,0,0,0,0,21.4949,10.1575,597.7961,-40.3133,11.328,593.9104,-0.0989,0.3328,-0.9378,0.0889,0.3191,-0.9435,5387,"Fixation"
8811556253,553.4436,464.7604,802.0637,459.7478,12.1478,12.1478,3.1519,11.8079,11.8079,3.0679,550.8438,471.8614,557.999,471.6613,797.9836,466.8985,804.8445,466.7448,599.0181,521.2593,599.0181,521.2593,0,1943,1,1,"-","-",0,0,0,0,0,0,21.4901,10.101,597.143,-40.3525,11.2906,594.4822,-0.1068,0.3307,-0.9377,0.0875,0.3273,-0.9409,5387,"Fixation"
8811573207,553.4621,464.9204,802.1174,459.9085,12.1007,12.1007,3.1485,11.7187,11.7187,3.0608,550.649,472.0173,557.6595,472.016,798.0938,467.0035,805.0047,467.0056,597.2891,518.5565,597.2891,518.5565,0,11391,1,1,"-","-",0,0,0,0,0,0,21.5523,10.0347,597.0114,-40.4106,11.2516,594.84,-0.1215,0.3344,-0.9346,0.0919,0.3288,-0.9399,5387,"Fixation"
8811589492,553.624,465.0203,802.1758,460.0043,12.029,12.029,3.1428,11.7225,11.7225,3.055,550.8479,472.1559,557.6635,472.0208,798.0979,467.0095,805.1065,467.0115,595.8172,518.799,595.8172,518.799,0,1981,1,1,"-","-",0,0,0,0,0,0,21.5463,10.0259,597.5545,-40.4242,11.2502,594.8426,-0.1246,0.333,-0.9346,0.0914,0.3242,-0.9416,5387,"Fixation"
8811606227,553.6702,465.1165,802.3019,460.0605,11.8172,11.8172,3.1281,11.4661,11.4661,3.0384,550.9923,472.3574,558.011,472.3538,798.1021,467.0148,805.1109,467.0158,596.1092,514.2721,596.1092,514.2721,0,2141,1,1,"-","-",0,0,0,0,0,0,21.4778,9.9556,597.3658,-40.4254,11.249,594.8442,-0.1134,0.3429,-0.9325,0.0848,0.3214,-0.9431,5387,"Saccade"
8811622996,553.8866,465.0739,802.3617,460.3083,11.9685,11.9685,3.123,11.5236,11.5236,3.0281,551.3421,472.0253,558.3506,472.0242,798.3199,467.1338,805.1228,467.0256,595.6325,427.0544,595.6325,427.0544,0,3360,1,1,"-","-",0,0,0,0,0,0,21.3862,10.0363,597.2248,-40.5018,11.2463,595.5496,-0.1077,0.3281,-0.9385,0.0872,0.3124,-0.946,5387,"Fixation"
8811639635,554.0469,465.0974,802.6864,460.3355,11.9728,11.9728,3.1188,11.6168,11.6168,3.0239,551.3521,472.0237,558.3634,472.0192,798.4902,467.2757,805.5051,467.2741,595.7157,424.3021,595.7157,424.3021,0,53050,1,1,"-","-",0,0,0,0,0,0,21.3783,10.0348,597.0851,-40.5665,11.196,595.4791,-0.1156,0.3259,-0.9383,0.0853,0.3211,-0.9432,5387,"Fixation"
8811652900.75,554.0469,465.0974,802.6864,460.3355,11.9728,11.9728,3.1188,11.6168,11.6168,3.0239,551.3521,472.0237,558.3634,472.0192,798.4902,467.2757,805.5051,467.2741,596.162,423.3951,596.162,423.3951,0,53050,1,1,"-","-",0,0,0,0,0,0,21.3783,10.0348,597.0851,-40.5665,11.196,595.4791,-0.1156,0.3259,-0.9383,0.0853,0.3211,-0.9432,5387,"Fixation"
8811666166.5,554.0469,465.0974,802.6864,460.3355,11.9728,11.9728,3.1188,11.6168,11.6168,3.0239,551.3521,472.0237,558.3634,472.0192,798.4902,467.2757,805.5051,467.2741,596.6082,422.4882,596.6082,422.4882,0,53050,1,1,"-","-",0,0,0,0,0,0,21.3783,10.0348,597.0851,-40.5665,11.196,595.4791,-0.1156,0.3259,-0.9383,0.0853,0.3211,-0.9432,5387,"Fixation"
8811679432.25,554.0469,465.0974,802.6864,460.3355,11.9728,11.9728,3.1188,11.6168,11.6168,3.0239,551.3521,472.0237,558.3634,472.0192,798.4902,467.2757,805.5051,467.2741,597.0545,421.5812,597.0545,421.5812,0,53050,1,1,"-","-",0,0,0,0,0,0,21.3783,10.0348,597.0851,-40.5665,11.196,595.4791,-0.1156,0.3259,-0.9383,0.0853,0.3211,-0.9432,5387,"Fixation"
8811692698,554.3455,464.5892,802.935,460.0373,11.9882,11.9882,3.1161,11.641,11.641,3.0216,551.9859,471.6595,558.9978,471.6576,798.8968,467.0113,805.9016,467.0102,597.5008,420.6742,597.5008,420.6742,0,8496,1,1,"-","-",0,0,0,0,0,0,21.2144,10.1236,596.9538,-40.6648,11.2615,595.4468,-0.0971,0.335,-0.9372,0.0936,0.3229,-0.9418,5388,"Fixation"
8811706264,554.3046,464.3057,802.9768,459.9057,11.6369,11.6369,3.0972,11.7526,11.7526,3.0254,551.986,471.3669,558.998,471.362,798.8912,467,805.7341,466.8518,598.3032,418.6387,598.3032,418.6387,0,2020,1,1,"-","-",0,0,0,0,0,0,21.2101,10.1954,596.8315,-40.6785,11.2927,595.968,-0.095,0.3344,-0.9376,0.0869,0.3254,-0.9416,5388,"Fixation"
8811722869,554.3383,464.0681,802.8777,459.5696,11.8262,11.8262,3.0905,11.5927,11.5927,3.0209,551.6411,471.0207,558.6534,471.0195,798.4811,466.3951,805.5113,466.2835,595.7263,420.1307,595.7263,420.1307,0,1890,1,1,"-","-",0,0,0,0,0,0,21.2925,10.2798,596.717,-40.5891,11.4367,595.8159,-0.1156,0.3268,-0.938,0.0745,0.3118,-0.9472,5388,"Fixation"
8811745477,554.2282,463.7868,802.6377,459.3745,11.936,11.936,3.0901,11.6367,11.6367,3.0188,551.4973,471.0139,558.5071,471.0096,798.49,466.2724,805.6666,466.1322,595.982,417.5463,595.982,417.5463,0,2169,1,1,"-","-",0,0,0,0,0,0,21.3254,10.2802,596.619,-40.5678,11.459,595.1994,-0.1164,0.3409,-0.9329,0.0919,0.3149,-0.9447,5389,"Fixation"
8811756247,553.9084,463.6018,802.3111,458.844,11.9104,11.9104,3.0885,11.487,11.487,3.0093,551.0002,470.6571,558.0168,470.5043,798.1045,466.0042,805.3198,465.894,593.9347,417.1744,593.9347,417.1744,0,2744,1,1,"-","-",0,0,0,0,0,0,21.4452,10.3863,596.5051,-40.429,11.5089,594.5051,-0.1266,0.3269,-0.9365,0.0905,0.3287,-0.9401,5389,"Fixation"
8811772991,553.4758,463.3284,801.9779,458.6557,11.644,11.644,3.0746,11.7546,11.7546,3.0114,550.9899,470.3693,558.0099,470.3642,797,467,805,467,593.6126,390.49,593.6126,390.49,0,3425,1,1,"-","-",0,0,0,0,0,0,21.4431,10.4379,596.3885,-40.0549,11.1908,591.5932,-0.1042,0.3319,-0.9375,0.0743,0.3893,-0.9181,5389,"Fixation"
8811789484,553.3518,463.2265,801.7488,458.5085,11.9738,11.9738,3.0786,11.524,11.524,3.0026,550.6419,470.0226,557.6525,470.023,797.4923,465.2783,804.5063,465.2757,592.907,423.511,592.907,423.511,0,1834,1,1,"-","-",0,0,0,0,0,0,21.5288,10.5228,596.3115,-40.0684,11.6242,591.8153,-0.1171,0.3178,-0.9409,0.0813,0.3092,-0.9475,5389,"Fixation"
8811806150,552.9804,463.0532,801.3611,458.1679,11.8926,11.8926,3.078,11.3952,11.3952,2.9895,550.3492,470.0225,557.3576,470.0184,797.1063,465.014,804.1143,465.0148,593.1759,423.3901,593.1759,423.3901,0,1823,1,1,"-","-",0,0,0,0,0,0,21.6002,10.5223,596.2474,-39.9868,11.694,592.0411,-0.1127,0.3272,-0.9382,0.0813,0.3132,-0.9462,5389,"Fixation"
8811822834,552.7879,463.0253,801.0808,458.039,11.8343,11.8343,3.0741,11.5903,11.5903,2.9882,550.1513,469.8743,557.3462,470.0203,797.0942,465.007,804.1,465.0091,595.1153,424.359,595.1153,424.359,0,1902,1,1,"-","-",0,0,0,0,0,0,21.6023,10.5287,595.5808,-39.9982,11.6998,592.2577,-0.1084,0.3248,-0.9396,0.0957,0.3201,-0.9426,5389,"Fixation"
8811847035,552.4446,462.9637,800.8436,457.8559,11.9761,11.9761,3.0776,11.5312,11.5312,2.9838,549.6472,470.0191,556.6573,470.0174,796.5059,464.754,803.7289,464.8555,592.8088,423.3058,592.8088,423.3058,0,6701,1,1,"-","-",0,0,0,0,0,0,21.751,10.5108,595.564,-39.8451,11.7403,591.7543,-0.1214,0.3306,-0.9359,0.0828,0.3183,-0.9444,5390,"Fixation"
