"start","end","dur","x","y","pupil"
11264147254,11264613832,466578,367.598466666667,130.55621,188.49428457
11264647201,11264930544,283343,359.349022222222,45.0524666666667,183.845281623333
11265013829,11265230525,216696,426.5946,43.1100428571429,177.3053126
11265464064,11265980493,516429,494.352815625,72.946078125,199.365283613437
11266013835,11266413843,400008,575.832334615385,51.5194115384615,194.178708550385
11266447074,11266664167,217093,665.634514285714,66.1102357142857,200.594497800714
11266697338,11266864943,167605,744.477327272727,65.8708454545455,196.883447893636
11267330460,11267730412,399952,367.336056,63.308676,219.9275194968
11267764456,11267868301,103845,330.823871428571,36.9617428571429,207.889270582857
11267897295,11268147070,249775,361.384226666667,42.4030333333333,199.376667146
11268197262,11268297363,100101,-2,-90.9748285714286,114.739709612857
11268530262,11268730265,200003,346.913969230769,62.0958538461538,215.362371745385
11269013714,11269297130,283416,468.022361111111,54.6605666666667,229.487411642222
11269330265,11269780615,450350,529.670182142857,54.6974928571429,231.884944250357
11269813612,11270097007,283395,668.818872222222,57.5960166666667,228.246218335
11270130291,11270313660,183369,784.643083333333,73.97565,228.310396665833
11270497086,11271346817,849731,355.343075,144.115665384615,241.734978074038
11271380641,11271882495,501854,417.363329032258,140.743522580645,231.827533925806
11271913502,11273471493,1557991,488.648862765957,157.255193617021,233.268097937872
11273496930,11274330029,833099,559.486858823529,142.935103921569,207.327623153529
11274472212,11275213341,741129,600.143369565217,131.428858695652,201.949973921304
11275413347,11275846666,433319,664.410725925926,104.277611111111,185.982258828148
11277396868,11277972354,575486,336.703894285714,168.977331428571,196.024516212
11278071734,11278379954,308220,389.214325,148.809885,182.947357334
11278413547,11279079895,666348,482.847134146341,160.581082926829,188.101148216585
11279113211,11280213202,1099991,575.028945762712,158.497794915254,194.977232513729
11280313106,11280629669,316563,641.9881125,138.346225,181.9758449325
11280896710,11281013092,116382,621.6821125,116.39935,177.30287694125
11281771710,11281971423,199713,-2,-91,60.52652471625
11282046323,11282163033,116710,-2,-91,89.36950553625
11283296667,11285041130,1744463,-2,-91,0.985513005116279
11285154174,11286587728,1433554,403.976287356322,164.933812643678,185.153647255517
11286620706,11287071913,451207,450.094925,171.544664285714,185.130920948929
11287104125,11287371050,266925,492.002194117647,166.026076470588,183.013119266471
11287404227,11287520703,116476,513.690175,164.9638875,179.10929997
11287704136,11287887410,183274,-2,-91,0
11287920734,11288637315,716581,611.478109090909,161.742259090909,170.534773714545
11288671322,11290703892,2032570,633.286777235772,150.935588617886,165.480421372764
11290971625,11291489822,518197,-2,-91,0
11292301774,11292401761,99987,894.4542,178.421585714286,153.072519235714
11292485017,11292601647,116630,942.38665,163.6543375,134.117181175
11292785032,11292985149,200117,336.858423076923,193.337615384615,190.362494788462
11293018317,11294234767,1216450,328.769335135135,184.310010810811,175.848390001892
11294271341,11294918216,646875,382.00211,174.1638725,182.04092740175
11294951562,11295171873,220311,426.883185714286,170.313642857143,179.08052575
11295318201,11295518186,199985,431.695984615385,161.810469230769,167.373685666923
11295551455,11296118102,566647,485.058165714286,173.913468571429,160.706469778
11296151429,11297384748,1233319,539.253625333333,145.713849333333,162.154716033067
11297418073,11297818121,400048,596.1762,159.851954545455,176.175059199091
11298118114,11298234668,116554,588.631175,154.4851,181.07381829625
11300284598,11300851234,566636,340.6331,215.717094285714,177.080846676286
11300884643,11301217816,333173,375.421038095238,201.552228571429,164.778755798571
11301334522,11301601265,266743,394.27301875,185.05480625,175.3402729775
11301634558,11302217813,583255,460.9237,202.415491666667,183.217477293056
11302251203,11302984878,733675,533.682284444444,204.488411111111,178.123506062889
11303017792,11303671808,654016,618.885735,209.4573525,180.9769661095
11303701127,11304834323,1133196,689.428539130435,203.1618,180.906921562899
11304867940,11305500997,633057,748.96371025641,211.11881025641,175.092537508718
11305534310,11305784353,250043,792.07446875,211.80580625,169.57342371875
11305950946,11307571371,1620425,818.692671428571,198.620845918367,147.837306741735
11307617584,11308067746,450162,365.560321428571,230.037514285714,157.378790146786
11308217600,11308434178,216578,364.713364285714,212.460764285714,148.948856290714
11308471639,11309350805,879166,405.908433333333,208.947718518519,159.038822686481
11309384146,11310234181,850035,437.885703846154,213.184161538462,161.437141200962
11310271527,11310584974,313447,413.410195,139.773935,160.163390496
11310617467,11311017297,399830,504.779988,191.5119,154.0467612392
11311050688,11311633906,583218,536.299533333333,216.2936,151.9249544675
11311684086,11311933931,249845,568.8288125,207.701725,148.51335057375
11312117339,11314050577,1933238,549.474460683761,223.465517094017,171.898321464359
11314083989,11315250456,1166467,585.22765915493,227.283373239437,201.514758173662
11315283862,11316783727,1499865,650.269111111111,219.943858024691,194.46450913679
11317350422,11317583755,233333,-2,-91,0
11318000603,11318350326,349723,350.070863636364,273.667786363636,182.938918727273
11318500625,11319133537,632912,326.097864102564,257.892266666667,174.390377655641
11319174649,11319850324,675675,387.121023809524,241.442661904762,179.330551412857
11319883666,11320071652,187986,455.501091666667,245.62055,183.2047177
11320100430,11320971555,871125,489.175771698113,246.539132075472,175.020296617547
11321000307,11321833403,833096,580.609917647059,261.422103921569,176.739636311176
11321869914,11322667033,797119,680.420536734694,250.934106122449,195.633864276735
11322700135,11323833402,1133267,748.235549275362,247.772097101449,183.848398057971
11323950072,11324833289,883217,824.135812962963,252.685983333333,170.561233094259
11324883774,11326000188,1116414,372.116745588235,268.070307352941,175.291527620588
11326033289,11327083246,1049957,433.812603125,272.7234625,175.83791785
11327116616,11327849824,733208,521.932664444444,271.975404444444,162.547925154444
11327884331,11328149825,265494,592.252941176471,262.025388235294,161.011026469412
11328283240,11328799898,516658,668.552878125,253.43800625,157.598251609375
11328833158,11330349700,1516542,735.18390326087,267.410889130435,166.345986894565
11330384058,11331299701,915643,804.393016071429,269.578973214286,178.4648225325
11331333038,11331671709,338671,845.275242857143,299.034961904762,179.219811492857
11331699787,11331883011,183224,389.305616666667,283.518616666667,178.518068389167
11331916319,11332582986,666667,366.726641463415,280.264892682927,174.83901211878
11332766529,11333749579,983050,430.709856666667,272.077998333333,173.1922527975
11333782981,11333966403,183422,461.903983333333,273.354783333333,172.92192644
11333999744,11334916200,916456,515.876401785714,294.3656,185.559119016429
11335049461,11335832778,783317,598.241204166667,283.5398625,203.966594245417
11335868557,11336016147,147590,626.91982,297.08559,195.702646159
11336049467,11336916075,866608,675.962767924528,304.825764150943,218.638164933962
11336949455,11337771276,821821,757.329464,316.864048,212.7717317086
11337799619,11338732669,933050,814.032578947368,291.202643859649,199.659118089649
11338771419,11339199405,427986,860.307422222222,301.606462962963,192.422593924074
11339249333,11339382618,133285,464.844277777778,101.054311111111,195.169437666667
11339415952,11339815977,400025,449.522724,47.014528,200.0676167712
11339849203,11340032528,183325,339.478733333333,42.5487166666667,193.81857686
11340171759,11340432729,260970,690.703194117647,55.2036823529412,189.812850971176
11340471553,11340815819,344266,771.403768181818,59.8422863636364,190.334572244091
11340849214,11341149185,299971,518.564931578947,45.6937210526316,194.461093392632
11341482645,11342082583,599938,849.434489189189,281.885610810811,188.362013139459
11342132444,11343071246,938802,366.844721052632,280.883149122807,174.894477357368
11343249088,11343515712,266624,442.456252941176,265.572117647059,213.361292837647
11343549075,11344099390,550315,491.476955882353,294.6134,207.920765145588
11344132311,11344649088,516777,576.62018125,289.5962,196.658857045625
11344682789,11345115721,432932,651.138248148148,300.540103703704,204.728754157407
11345148938,11345982398,833460,707.108336363636,299.64065,212.95269107
11346015604,11347015599,999995,378.388357377049,322.755526229508,223.494622711639
11347248954,11347398894,149940,396.81701,319.9113,214.733371946
11347448829,11347568157,119328,440.7939875,323.6384,216.36357387125
11347599038,11348298901,699863,500.626895348837,317.727109302326,204.526279330465
11348332159,11349382202,1050043,572.6308796875,320.4293671875,196.854268128125
11349415483,11350071485,656002,638.69327,323.2160625,216.58705171925
11350099003,11350568808,469805,668.491031034483,337.157368965517,227.91897634069
11350598966,11350782124,183158,694.564691666667,323.564091666667,227.305176849167
11351698789,11352648581,949792,721.865415254237,309.289920338983,188.26029369661
11353331908,11353415222,83314,789.219285714286,302.654414285714,194.683365961429
11353448570,11353798586,350016,379.938204545455,337.515313636364,206.229487066818
11354031800,11354172231,140431,399.336566666667,311.623655555556,205.568703547778
11354198738,11355048482,849744,463.277794230769,333.050913461538,222.822240154615
11355081893,11355681879,599986,537.797775675676,325.581683783784,225.676079453784
11355715076,11356298667,583591,600.008097222222,346.229941666667,224.393565167222
11356331783,11356631684,299901,647.6001,338.178952631579,223.647440244737
11356665314,11356815104,149790,653.33659,325.31322,213.815340021
11356848453,11356981765,133312,672.339622222222,321.886488888889,206.084760556667
11357115088,11357798552,683464,751.08102972973,321.997681081081,200.574298011351
11357831659,11358431680,600021,809.850842857143,329.909942857143,186.674978593571
11358481760,11358998400,516640,358.75641875,359.55005625,188.312989096562
11359181651,11359482328,300677,389.018078947368,336.723757894737,189.156331686842
11359514939,11360281661,766722,426.859427659574,354.911678723404,183.788034255745
11360465213,11360598533,133320,516.815655555556,300.987411111111,185.525986925556
11360631567,11361314838,683271,536.101997619048,331.663016666667,186.499471211905
11361348210,11361998494,650284,598.2325,328.49205,177.07437676325
11362483559,11362731415,247856,680.43309375,335.65510625,174.07046733
11363672153,11364148097,475944,873.266733333333,375.053413333333,162.792001243667
11364185395,11364948018,762623,955.434604255319,387.683725531915,177.217937279787
