"document","fix150","sac70","fix300","sacm","sac105","fix600","fixm","sac35","sac140","fix450","sac","pid","tid"
"text1",5,36,22,18,48,30,36,7,6,23,0,"01","10879"
"text2",12,38,28,25,44,25,42,11,8,24,4,"01","11299"
"text3",9,32,24,18,38,20,25,7,10,28,0,"01","13165"
"text4",9,33,36,22,34,17,24,13,7,24,0,"01","322"
"text5",8,31,21,17,50,25,34,9,5,25,0,"01","3775"
"text6",14,28,21,19,47,25,30,13,10,28,0,"01","4094"
"text7",16,38,46,27,50,24,23,13,13,33,0,"01","4504"
"text8",6,33,23,15,47,27,41,14,4,17,0,"01","4701"
"text9",7,47,40,14,48,27,27,14,13,36,0,"01","6046"
"text10",10,39,25,14,42,33,20,10,10,28,0,"01","6366"
"text11",9,32,24,25,55,24,36,9,9,38,0,"01","6474"
"text12",35,48,65,38,58,16,2,15,10,52,0,"02","10879"
"text13",37,52,80,42,51,17,3,28,17,54,0,"02","11143"
"text14",21,51,74,30,45,19,5,28,15,51,0,"02","11299"
"text15",31,52,84,39,52,15,7,20,15,42,0,"02","13165"
"text16",46,56,107,48,53,11,3,30,21,42,0,"02","2725"
"text17",56,55,87,45,38,5,1,17,25,32,0,"02","322"
"text18",33,50,83,43,43,13,4,19,26,49,0,"02","3775"
"text19",40,59,102,41,49,11,5,24,31,47,0,"02","3819"
"text20",50,41,88,67,52,10,11,24,28,54,0,"02","4094"
"text21",37,69,85,29,47,19,2,28,13,44,0,"02","4701"
"text22",27,47,78,34,47,13,4,24,12,43,0,"02","6046"
"text23",55,71,88,41,63,25,4,25,19,48,0,"02","7784"
"text24",40,49,74,36,57,10,8,22,17,50,0,"02","9977"
"text25",16,38,45,27,62,36,19,15,10,37,0,"03","10879"
"text26",27,45,49,17,35,8,6,14,11,33,0,"03","11143"
"text27",16,42,31,23,36,23,26,25,9,40,0,"03","11299"
"text28",12,26,39,24,45,18,16,6,12,29,0,"03","13165"
"text29",12,24,26,20,58,28,24,14,10,37,0,"03","2725"
"text30",17,44,42,22,52,21,17,14,10,46,0,"03","3775"
"text31",24,51,53,22,56,26,17,20,12,42,0,"03","3819"
"text32",52,52,64,24,37,9,8,38,7,26,0,"03","4094"
"text33",24,41,46,19,49,10,4,9,13,48,0,"03","4504"
"text34",36,62,56,29,60,26,34,35,17,52,0,"03","4584"
"text35",37,53,46,23,49,22,25,36,8,40,0,"03","4701"
"text36",15,51,46,30,53,26,27,19,12,52,0,"03","5938"
"text37",40,15,48,15,23,18,10,77,5,38,18,"03","6366"
"text38",17,51,42,28,54,28,17,14,11,55,0,"03","6474"
"text39",13,42,46,20,56,26,21,17,15,45,0,"03","7784"
"text40",17,52,44,23,47,28,14,15,12,47,0,"03","9977"
"text41",9,37,18,21,53,21,71,10,6,9,0,"04","10879"
"text42",10,42,17,30,55,15,81,17,3,25,0,"04","11143"
"text43",6,35,23,26,55,25,73,13,7,10,0,"04","11299"
"text44",4,32,22,25,51,27,61,11,8,15,1,"04","13165"
"text45",8,42,11,24,50,22,73,12,8,23,0,"04","2725"
"text46",12,33,26,32,52,22,60,13,10,21,0,"04","322"
"text47",5,40,18,17,55,19,65,8,4,18,0,"04","3775"
"text48",11,51,33,32,61,25,97,23,17,19,0,"04","3819"
"text49",7,26,23,35,52,19,66,7,10,16,0,"04","4504"
"text50",7,40,22,38,43,21,74,12,8,18,0,"04","4584"
"text51",6,36,16,23,49,10,79,8,6,12,0,"04","4701"
"text52",11,36,27,33,60,15,72,11,12,28,0,"04","5938"
"text53",6,39,26,26,49,21,60,12,12,26,0,"04","6046"
"text54",6,44,18,22,44,18,63,10,10,26,0,"04","6474"
"text55",9,49,24,28,50,28,82,22,10,17,0,"04","7784"
"text56",13,54,25,26,54,21,83,16,7,16,0,"04","9977"
"text57",11,44,39,39,46,26,73,27,17,25,0,"06","10879"
"text58",27,42,33,26,38,20,46,24,13,18,0,"06","11143"
"text59",19,78,46,39,73,42,92,34,22,48,0,"06","322"
"text60",13,49,35,28,41,24,60,26,9,22,0,"06","3775"
"text61",12,52,38,29,52,27,66,29,14,34,0,"06","3819"
"text62",23,39,41,32,46,21,30,16,10,29,0,"06","4094"
"text63",38,68,53,31,34,24,34,26,15,26,0,"06","4504"
"text64",30,72,53,20,43,24,47,36,13,31,0,"06","4701"
"text65",23,66,57,34,56,37,50,32,14,36,0,"06","5938"
"text66",16,38,23,23,32,11,53,20,8,19,0,"06","6046"
"text67",13,41,30,20,40,27,36,13,7,16,0,"06","6366"
