personID,textID,interest,complexity,comprehension,familiarity
1,6474,4.67,2.00,4.33,6.00
1,4094,5.00,2.00,6.00,5.75
1,4701,2.00,3.50,4.00,5.25
1,10879,6.00,1.50,6.33,5.00
1,4504,7.00,2.00,6.67,6.25
1,11299,3.33,1.50,6.00,6.00
1,3819,6.00,4.50,4.67,3.00
1,11143,7.00,4.50,5.67,4.25
1,2725,5.33,1.00,6.33,4.50
1,7784,5.33,4.00,5.67,3.75
1,6046,7.00,1.50,7.00,4.00
1,3775,7.00,1.50,6.67,4.50
1,322,6.00,2.00,6.00,4.50
1,13165,5.33,3.50,5.33,4.25
1,5938,4.67,3.00,6.00,4.50
1,6366,5.00,3.00,5.00,4.75
1,4584,7.00,3.00,6.00,5.75
1,9977,4.00,3.00,5.67,5.25
2,4584,5.33,6.00,4.00,4.50
2,4701,5.67,1.50,7.00,5.25
2,6366,5.67,5.50,5.00,5.50
2,322,5.00,3.00,5.00,4.75
2,4504,6.00,2.50,6.00,5.25
2,3819,5.00,2.50,5.33,5.25
2,7784,4.33,5.00,4.67,4.25
2,6046,6.00,2.00,6.00,4.00
2,13165,5.33,2.50,5.33,4.25
2,11143,5.67,2.50,6.00,5.00
2,4094,4.33,5.00,4.00,4.75
2,6474,6.00,2.00,6.00,4.75
2,3775,6.00,3.00,6.00,3.25
2,2725,6.00,2.00,6.00,3.75
2,10879,4.33,2.50,5.67,3.50
2,9977,4.67,4.00,5.00,4.25
2,5938,4.00,4.50,4.67,4.00
2,11299,3.33,2.00,6.00,4.00
3,4584,1.00,5.50,5.00,1.00
3,4094,3.00,2.00,7.00,2.75
3,6366,1.00,3.50,6.00,2.00
3,6046,3.33,1.00,6.00,2.50
3,5938,2.67,4.00,5.33,3.50
3,9977,4.00,2.50,6.00,3.50
3,4701,4.33,1.50,7.00,5.75
3,6474,4.67,4.50,5.33,5.25
3,7784,4.33,4.50,5.33,5.00
3,10879,6.00,2.00,6.00,4.50
3,2725,5.00,1.50,6.67,5.25
3,3775,5.00,4.50,6.00,3.75
3,11299,4.33,1.50,7.00,6.00
3,13165,6.00,3.00,6.33,5.75
3,322,6.67,2.50,7.00,6.25
3,11143,5.00,3.50,6.00,6.00
3,3819,3.67,4.00,3.33,6.75
3,4504,7.00,2.00,7.00,7.00
4,3819,5.33,6.00,4.33,4.00
4,322,6.33,2.00,6.33,4.75
4,13165,7.00,4.00,5.67,4.00
4,6046,6.33,2.50,6.67,4.25
4,11299,4.67,3.00,6.33,3.00
4,6474,4.67,3.00,7.00,4.25
4,11143,4.33,6.00,3.67,3.50
4,2725,6.33,5.00,5.67,3.50
4,10879,4.00,3.00,6.33,3.75
4,9977,4.33,5.00,5.33,3.75
4,6366,6.00,2.50,6.67,3.75
4,7784,5.00,6.00,4.00,4.25
4,4584,5.67,4.00,6.00,5.00
4,3775,6.00,3.50,6.33,5.00
4,5938,4.67,2.50,6.67,5.00
4,4094,3.67,4.50,5.00,5.25
4,4701,5.00,2.50,6.67,5.00
4,4504,5.00,5.50,4.67,4.75
6,11299,5.33,5.00,3.67,2.00
6,13165,6.33,2.50,5.33,3.00
6,5938,3.67,2.50,5.00,2.75
6,11143,7.00,4.00,5.67,4.00
6,322,1.67,5.00,2.67,2.50
6,10879,6.00,4.00,5.67,2.75
6,4584,4.33,4.00,4.00,3.50
6,4504,6.67,2.00,6.00,4.25
6,6366,4.00,4.00,3.33,4.75
6,4701,3.00,1.50,6.67,4.25
6,6474,4.33,1.50,7.00,5.25
6,4094,4.00,1.00,7.00,5.75
6,7784,3.33,3.50,5.67,3.75
6,6046,3.00,4.50,4.33,3.00
6,2725,4.33,2.00,6.00,3.75
6,3775,4.33,2.50,6.00,3.50
6,9977,5.33,1.50,6.67,4.50
6,3819,6.00,4.50,2.67,3.50
7,4504,6.00,3.00,5.33,4.75
7,4584,5.00,2.50,5.67,5.00
7,6046,5.33,2.00,6.00,4.00
7,4701,5.00,2.00,6.00,4.00
7,6474,5.00,2.00,6.00,4.50
7,11299,4.33,2.00,6.00,4.50
7,13165,6.00,3.50,5.67,3.00
7,3775,6.00,3.00,6.00,4.25
7,11143,6.00,4.50,5.33,4.25
7,3819,6.00,4.50,5.00,3.75
7,5938,5.00,4.00,5.33,3.50
7,6366,4.00,3.50,5.00,4.00
7,9977,4.00,3.00,6.00,4.25
7,2725,6.00,2.00,6.00,4.50
7,7784,5.67,4.00,5.67,4.00
7,4094,5.00,3.00,6.00,4.00
7,322,5.33,2.50,6.00,4.00
7,10879,4.00,4.50,4.00,4.00
8,5938,3.67,4.00,6.00,4.50
8,4094,5.33,2.50,7.00,5.00
8,3775,5.67,3.50,5.67,4.00
8,6474,5.67,2.00,6.33,4.75
8,3819,7.00,5.00,4.33,4.50
8,11299,1.67,2.50,3.00,3.50
8,4701,2.67,1.50,7.00,4.25
8,13165,7.00,2.50,6.00,4.00
8,6366,5.00,4.00,6.33,3.25
8,4504,7.00,4.00,5.67,3.75
8,7784,4.67,6.00,5.67,2.75
8,2725,6.33,1.50,7.00,3.75
8,6046,1.67,4.50,3.00,1.75
8,9977,1.00,6.00,3.33,2.00
8,10879,2.33,2.00,4.67,2.00
8,4584,2.00,4.00,1.00,2.50
