"","personID","textID","interest","complexity","comprehension","familiarity"
"1","1",6474,4.204,2.71428571428571,1.66,6
"2","1",4094,4.6,2.71428571428571,5,5.75
"3","1",4701,1,5.28571428571429,1,5.25
"4","1",10879,5.8,1.85714285714286,5.66,5
"5","1",4504,7,2.71428571428571,6.34,6.25
"6","1",11299,2.596,1.85714285714286,5,6
"7","1",3819,5.8,7,2.34,3
"8","1",11143,7,7,4.34,4.25
"9","1",2725,4.996,1,5.66,4.5
"10","1",7784,4.996,6.14285714285714,4.34,3.75
"11","1",6046,7,1.85714285714286,7,4
"12","1",3775,7,1.85714285714286,6.34,4.5
"13","1",322,5.8,2.71428571428571,5,4.5
"14","1",13165,4.996,5.28571428571429,3.66,4.25
"15","1",5938,4.204,4.42857142857143,5,4.5
"16","1",6366,4.6,4.42857142857143,3,4.75
"17","1",4584,7,4.42857142857143,5,5.75
"18","1",9977,3.4,4.42857142857143,4.34,5.25
"19","2",4584,5.49438202247191,7,1,4.5
"20","2",4701,6.25842696629213,1,7,5.25
"21","2",6366,6.25842696629213,6.33333333333333,3,5.5
"22","2",322,4.75280898876404,3,3,4.75
"23","2",4504,7,2.33333333333333,5,5.25
"24","2",3819,4.75280898876404,2.33333333333333,3.66,5.25
"25","2",7784,3.24719101123596,5.66666666666667,2.34,4.25
"26","2",6046,7,1.66666666666667,5,4
"27","2",13165,5.49438202247191,2.33333333333333,3.66,4.25
"28","2",11143,6.25842696629213,2.33333333333333,5,5
"29","2",4094,3.24719101123596,5.66666666666667,1,4.75
"30","2",6474,7,1.66666666666667,5,4.75
"31","2",3775,7,3,5,3.25
"32","2",2725,7,1.66666666666667,5,3.75
"33","2",10879,3.24719101123596,2.33333333333333,4.34,3.5
"34","2",9977,4.01123595505618,4.33333333333333,3,4.25
"35","2",5938,2.50561797752809,5,2.34,4
"36","2",11299,1,1.66666666666667,5,4
"37","3",4584,1,7,3.73024523160763,1
"38","3",4094,3,2.33333333333333,7,2.75
"39","3",6366,1,4.33333333333333,5.36512261580381,2
"40","3",6046,3.33,1,5.36512261580381,2.5
"41","3",5938,2.67,5,4.26975476839237,3.5
"42","3",9977,4,3,5.36512261580381,3.5
"43","3",4701,4.33,1.66666666666667,7,5.75
"44","3",6474,4.67,5.66666666666667,4.26975476839237,5.25
"45","3",7784,4.33,5.66666666666667,4.26975476839237,5
"46","3",10879,6,2.33333333333333,5.36512261580381,4.5
"47","3",2725,5,1.66666666666667,6.46049046321526,5.25
"48","3",3775,5,5.66666666666667,5.36512261580381,3.75
"49","3",11299,4.33,1.66666666666667,7,6
"50","3",13165,6,3.66666666666667,5.90463215258856,5.75
"51","3",322,6.67,3,7,6.25
"52","3",11143,5,4.33333333333333,5.36512261580381,6
"53","3",3819,3.67,5,1,6.75
"54","3",4504,7,2.33333333333333,7,7
"55","4",3819,3.99099099099099,7,2.18918918918919,4
"56","4",322,5.79279279279279,1,5.79279279279279,4.75
"57","4",13165,7,4,4.6036036036036,4
"58","4",6046,5.79279279279279,1.75,6.40540540540541,4.25
"59","4",11299,2.8018018018018,2.5,5.79279279279279,3
"60","4",6474,2.8018018018018,2.5,7,4.25
"61","4",11143,2.18918918918919,7,0.999999999999999,3.5
"62","4",2725,5.79279279279279,5.5,4.6036036036036,3.5
"63","4",10879,1.59459459459459,2.5,5.79279279279279,3.75
"64","4",9977,2.18918918918919,5.5,3.99099099099099,3.75
"65","4",6366,5.1981981981982,1.75,6.40540540540541,3.75
"66","4",7784,3.3963963963964,7,1.59459459459459,4.25
"67","4",4584,4.6036036036036,4,5.1981981981982,5
"68","4",3775,5.1981981981982,3.25,5.79279279279279,5
"69","4",5938,2.8018018018018,1.75,6.40540540540541,5
"70","4",4094,0.999999999999999,4.75,3.3963963963964,5.25
"71","4",4701,3.3963963963964,1.75,6.40540540540541,5
"72","4",4504,3.3963963963964,6.25,2.8018018018018,4.75
"73","6",11299,5.12007504690432,7,2.38568129330254,2
"74","6",13165,6.24577861163227,3.25,4.68591224018476,3
"75","6",5938,3.25140712945591,3.25,4.22863741339492,2.75
"76","6",11143,7,5.5,5.15704387990762,4
"77","6",322,1,7,0.999999999999999,2.5
"78","6",10879,5.87429643527205,5.5,5.15704387990762,2.75
"79","6",4584,3.99437148217636,5.5,2.84295612009238,3.5
"80","6",4504,6.62851782363977,2.5,5.61431870669746,4.25
"81","6",6366,3.62288930581613,5.5,1.91454965357968,4.75
"82","6",4701,2.49718574108818,1.75,6.54272517321016,4.25
"83","6",6474,3.99437148217636,1.75,7,5.25
"84","6",4094,3.62288930581613,1,7,5.75
"85","6",7784,2.86866791744841,4.75,5.15704387990762,3.75
"86","6",6046,2.49718574108818,6.25,3.30023094688222,3
