"Time","L Raw X [px]","L Raw Y [px]","R Raw X [px]","R Raw Y [px]","L Dia X [px]","L Dia Y [px]","L Mapped Diameter [mm]","R Dia X [px]","R Dia Y [px]","R Mapped Diameter [mm]","L CR1 X [px]","L CR1 Y [px]","L CR2 X [px]","L CR2 Y [px]","R CR1 X [px]","R CR1 Y [px]","R CR2 X [px]","R CR2 Y [px]","L POR X [px]","L POR Y [px]","R POR X [px]","R POR Y [px]","Timing","Latency","L Plane","R Plane","L Object Hit","R Object Hit","H POS X [mm]","H POS Y [mm]","H POS Z [mm]","H ROT X [°]","H ROT Y [°]","H ROT Z [°]","L EPOS X","L EPOS Y","L EPOS Z","R EPOS X","R EPOS Y","R EPOS Z","L GVEC X","L GVEC Y","L GVEC Z","R GVEC X","R GVEC Y","R GVEC Z","Frame","Event Info"
163192293617,623.7977,418.7804,878.1911,397.2655,11.916,11.916,3.1325,11.451,11.451,3.0718,620.9976,426.0172,627.9851,426.0178,873.7573,404.8364,880.7215,404.8474,628.8038,398.2225,628.8038,398.2225,0,8168,1,1,"-","-",0,0,0,0,0,0,3.931,21.787,602.7568,-60.0405,27.1105,601.8201,-0.0159,0.3479,-0.9374,0.1184,0.3662,-0.923,8287,"Fixation"
163192310379,623.8777,418.9968,878.4413,397.8014,12.0299,12.0299,3.1346,11.5093,11.5093,3.0622,620.9999,426.5057,627.8622,426.2878,874.1162,405.0206,880.9927,405.0151,629.3644,399.7377,629.3644,399.7377,0,2003,1,1,"-","-",0,0,0,0,0,0,3.9461,21.6897,602.7192,-60.1053,27.0595,601.6728,-0.0244,0.3568,-0.9339,0.124,0.3443,-0.9306,8287,"Fixation"
163192326918,623.8919,419.2027,878.4713,398.2986,12.0312,12.0312,3.1368,11.6195,11.6195,3.0601,621.153,426.7297,627.8553,426.7204,874.3271,405.8766,880.9977,405.982,630.3072,395.4096,630.3072,395.4096,0,2089,1,1,"-","-",0,0,0,0,0,0,3.931,21.6257,603.2502,-60.1911,26.8554,602.2614,-0.0215,0.3644,-0.931,0.1259,0.3699,-0.9205,8287,"Fixation"
163192343551,623.9066,419.3205,878.7145,398.8022,11.9237,11.9237,3.1331,11.8887,11.8887,3.0711,621.0025,427.0017,627.9989,426.998,874.272,406.1575,881.1072,406.0157,630.1968,395.6343,630.1968,395.6343,0,2026,1,1,"-","-",0,0,0,0,0,0,3.9284,21.5368,602.7215,-60.1948,26.8138,602.2265,-0.0232,0.3729,-0.9276,0.116,0.3495,-0.9297,8287,"Fixation"
163192360408,623.9667,418.6421,878.5363,398.2105,11.8055,11.8055,3.124,11.4637,11.4637,3.0598,621.01,426.8849,627.9998,426.507,874.119,406.0111,880.9991,406.0081,629.2496,378.0843,629.2496,378.0843,0,2200,1,1,"-","-",0,0,0,0,0,0,3.9243,21.597,602.2521,-60.1429,26.8248,602.0373,-0.0282,0.3932,-0.919,0.1156,0.3804,-0.9176,8287,"Fixation"
163192376925,623.5847,418.0489,877.9563,397.6679,11.9394,11.9394,3.1226,11.4454,11.4454,3.0499,620.8533,426.1604,627.8323,426.1539,873.7484,405.8488,880.496,405.7459,630.8841,347.4732,630.8841,347.4732,0,2095,1,1,"-","-",0,0,0,0,0,0,3.9628,21.7191,601.8542,-60.0609,26.8916,602.3264,-0.0163,0.3964,-0.9179,0.1209,0.4004,-0.9083,8288,"Saccade"
163192395619,623.2649,418.3107,877.6807,397.8752,11.9775,11.9775,3.1234,11.562,11.562,3.0481,620.5027,426.4985,627.2871,426.2829,873.512,405.9949,880.1078,405.9982,628.7086,248.3751,628.7086,248.3751,0,5110,1,1,"-","-",0,0,0,0,0,0,4.0781,21.6709,602.1544,-60.0629,26.8778,603.1436,-0.0235,0.3947,-0.9185,0.1186,0.4007,-0.9085,8288,"Fixation"
163192410395,622.8875,418.2878,877.5105,397.8434,11.8778,11.8778,3.1198,11.5902,11.5902,3.0474,620.2548,426.5094,627.0054,426.5013,873.1207,406.0011,880.0996,406.0019,629.6457,237.7754,629.6457,237.7754,0,3295,1,1,"-","-",0,0,0,0,0,0,4.1479,21.6563,602.5534,-59.9542,26.8498,602.5536,-0.018,0.403,-0.915,0.1169,0.4027,-0.9079,8288,"Fixation"
163192426993,622.6745,418.2859,877.301,397.8392,11.7855,11.7855,3.1125,11.4684,11.4684,3.0408,620.0017,426.5079,626.8502,426.7154,873.1142,406.0004,879.9903,406.0016,631.2101,231.3786,631.2101,231.3786,0,3227,1,1,"-","-",0,0,0,0,0,0,4.1998,21.6302,602.5788,-59.9196,26.8412,602.3553,-0.0183,0.4091,-0.9123,0.1252,0.4024,-0.9069,8288,"Fixation"
163192443506,622.6332,418.5213,877.2726,397.9326,12.0188,12.0188,3.1171,11.5914,11.5914,3.0414,619.8464,426.7274,626.8383,426.7251,873.1122,406.0039,879.8965,406.0028,631.5947,233.5287,631.5947,233.5287,0,3255,1,1,"-","-",0,0,0,0,0,0,4.2178,21.5844,602.1141,-59.9208,26.8467,602.4908,-0.02,0.402,-0.9154,0.1248,0.3969,-0.9093,8288,"Fixation"
163192462023,622.5371,418.697,877.2167,398.1131,12.0028,12.0028,3.1202,11.6227,11.6227,3.0435,619.9952,426.9974,626.8366,426.8462,873.1113,406.0062,879.8991,406.0046,633.0501,236.5284,633.0501,236.5284,0,3412,1,1,"-","-",0,0,0,0,0,0,4.1997,21.538,602.1966,-59.9323,26.8513,602.6039,-0.0105,0.4038,-0.9148,0.1291,0.386,-0.9134,8289,"Fixation"
163192476909,622.5785,418.7017,877.2503,398.3303,12.0351,12.0351,3.1242,11.811,11.811,3.054,619.9929,427.0052,626.8868,426.9952,873.114,406.0143,879.9883,406.0102,634.4446,240.3604,634.4446,240.3604,0,25424,1,1,"-","-",0,0,0,0,0,0,4.1929,21.5143,602.0921,-59.9246,26.8407,602.408,-0.0119,0.4077,-0.913,0.1313,0.373,-0.9185,8289,"Fixation"
163192502352,622.5013,418.8159,877.0681,398.3028,11.8596,11.8596,3.1191,11.6947,11.6947,3.0581,619.9913,427.0124,626.8817,427.0075,873.2552,406.1618,879.7719,406.1158,637.4305,238.7194,637.4305,238.7194,0,3411,1,1,"-","-",0,0,0,0,0,0,4.1932,21.5088,602.0069,-60.0246,26.8584,603.5163,-0.0071,0.4022,-0.9155,0.138,0.383,-0.9134,8289,"Fixation"
163192510355,622.5868,418.9746,877.1375,398.3727,11.9359,11.9359,3.1184,11.6751,11.6751,3.0611,619.8396,427.1527,626.7211,427.1567,873.1436,406.1641,879.763,406.1249,636.809,239.1853,636.809,239.1853,0,2992,1,1,"-","-",0,0,0,0,0,0,4.2324,21.4705,601.9586,-60.0736,26.8855,604.1603,-0.0207,0.4006,-0.916,0.1312,0.3798,-0.9157,8289,"Fixation"
163192526881,622.4739,419.1462,877.0863,398.351,11.9052,11.9052,3.1161,11.611,11.611,3.061,619.7366,427.1649,626.716,427.1589,872.9954,406.3604,879.6202,406.2651,637.6402,238.5044,637.6402,238.5044,0,1968,1,1,"-","-",0,0,0,0,0,0,4.2434,21.4551,601.5813,-60.0941,26.8684,604.7385,-0.0165,0.3914,-0.9201,0.1245,0.3922,-0.9114,8289,"Fixation"
163192543492,622.4276,419.1404,877.1055,398.3165,11.8357,11.8357,3.1113,11.4311,11.4311,3.0532,619.7238,427.1665,626.4865,427.2639,872.9928,406.3619,879.5121,406.2741,637.794,236.5305,637.794,236.5305,0,1937,1,1,"-","-",0,0,0,0,0,0,4.2769,21.456,601.9795,-60.1721,26.9085,605.6673,-0.0211,0.3947,-0.9186,0.1198,0.3955,-0.9106,8289,"Fixation"
163192560272,622.345,419.1719,877.0145,398.4005,11.7136,11.7136,3.1018,11.4112,11.4112,3.0458,619.5019,427.4938,626.2851,427.2819,872.7276,406.4459,879.5075,406.2779,636.2489,235.995,636.2489,235.995,0,2127,1,1,"-","-",0,0,0,0,0,0,4.3326,21.4228,602.2753,-60.1294,26.8931,605.579,-0.0292,0.4024,-0.915,0.1177,0.3932,-0.9119,8290,"Fixation"
163192576905,622.2266,419.3568,876.9974,398.682,11.8884,11.8884,3.1023,11.5308,11.5308,3.0455,619.5009,427.503,626.3715,427.5134,872.7591,406.8293,879.5064,406.7348,636.8228,234.8146,636.8228,234.8146,0,1914,1,1,"-","-",0,0,0,0,0,0,4.3215,21.3912,602.2454,-60.1365,26.7876,605.6114,-0.0198,0.3994,-0.9166,0.1185,0.4018,-0.908,8290,"Fixation"
163192593689,622.2753,419.45,877.1189,398.6503,11.941,11.941,3.1056,11.5395,11.5395,3.0459,619.5108,427.6326,626.2666,427.7137,872.8476,406.8476,879.5127,406.7518,635.4248,233.288,635.4248,233.288,0,2383,1,1,"-","-",0,0,0,0,0,0,4.3363,21.3628,602.6197,-60.1807,26.7976,605.9367,-0.0256,0.4034,-0.9147,0.1139,0.4053,-0.9071,8290,"Fixation"
163192610153,622.1745,419.6424,877.262,398.9564,11.9291,11.9291,3.108,11.558,11.558,3.0467,619.5082,427.7591,626.2753,427.8478,873.0053,407.0041,879.8881,407.0024,635.8092,234.8888,635.8092,234.8888,0,1884,1,1,"-","-",0,0,0,0,0,0,4.3377,21.3407,602.9266,-60.2025,26.7248,605.4684,-0.0194,0.4006,-0.9161,0.1218,0.3984,-0.9091,8290,"Fixation"
163192626813,622.2864,419.9218,877.1695,399.2659,11.903,11.903,3.1082,11.4964,11.4964,3.0449,619.295,428.1533,626.275,428.1529,873.148,407.1593,879.7626,407.1213,634.8552,235.7694,634.8552,235.7694,0,1850,1,1,"-","-",0,0,0,0,0,0,4.3615,21.236,602.4767,-60.2558,26.7131,605.9875,-0.0321,0.4036,-0.9144,0.1285,0.388,-0.9126,8290,"Fixation"
163192643484,622.1626,420.2322,877.1369,399.6413,11.7221,11.7221,3.1002,11.799,11.799,3.0579,619.5002,428.4992,626.2821,428.2846,872.9926,407.6481,879.7346,407.8353,634.5421,233.4318,634.5421,233.4318,0,1865,1,1,"-","-",0,0,0,0,0,0,4.3365,21.185,602.741,-60.2343,26.5605,606.0047,-0.0188,0.4006,-0.9161,0.1236,0.4023,-0.9071,8290,"Fixation"
163192661146,622.0693,420.5194,877.2703,399.9633,11.8886,11.8886,3.1021,11.6896,11.6896,3.0628,619.5101,428.6319,626.167,428.7297,873.009,408.0014,879.8912,407.9993,633.8189,232.1609,633.8189,232.1609,0,3229,1,1,"-","-",0,0,0,0,0,0,4.3548,21.1362,603.4355,-60.2098,26.4739,605.534,-0.0165,0.4015,-0.9157,0.1216,0.3983,-0.9092,8291,"Fixation"
163192676896,622.1346,420.6803,877.2816,400.1396,11.9168,11.9168,3.1052,11.4786,11.4786,3.0565,619.5034,429.0039,626.2715,428.8498,873.1131,408.0108,879.9894,408.009,633.14,231.8521,633.14,231.8521,0,1945,1,1,"-","-",0,0,0,0,0,0,4.3442,21.0822,603.6789,-60.1942,26.4533,605.1182,-0.0179,0.4064,-0.9135,0.1279,0.3875,-0.913,8291,"Fixation"
163192693563,624.4925,420.0087,879.4665,399.6806,11.8389,11.8389,3.1036,11.4629,11.4629,3.0506,620.8406,428.7319,627.8322,428.7329,874.2684,408.1562,880.9988,408.0068,576.8235,212.3928,576.8235,212.3928,0,2182,1,1,"-","-",0,0,0,0,0,0,3.9728,21.1123,603.1354,-60.482,26.4407,605.2442,-0.0711,0.4297,-0.9002,0.063,0.4226,-0.9041,8291,"Saccade"
163192710114,628.4074,419.2512,883.2231,399.2872,11.8527,11.8527,3.1029,11.2018,11.2018,3.0332,623.1695,428.1491,630.0043,428.009,876.277,408.1528,883.1031,408.004,424.8475,161.611,424.8475,161.611,0,1961,1,1,"-","-",0,0,0,0,0,0,3.4022,21.2792,603.1669,-60.9831,26.4317,605.0218,-0.16,0.4333,-0.8869,-0.0334,0.4505,-0.8922,8291,"Fixation"
163192726884,630.0076,418.8172,884.6927,399.1355,11.6683,11.6683,3.0947,11.2241,11.2241,3.0199,624.7205,427.8514,631.2635,427.8538,877.2768,408.152,884.107,407.9979,407.7409,133.1606,407.7409,133.1606,0,2187,1,1,"-","-",0,0,0,0,0,0,3.0512,21.3753,604.2523,-61.2156,26.4229,604.8007,-0.1715,0.4453,-0.8788,-0.0601,0.4606,-0.8856,8291,"Fixation"
163192743485,630.3446,418.7617,884.9481,399.0762,11.7485,11.7485,3.0913,11.501,11.501,3.022,624.887,427.9877,631.8342,427.8455,877.6819,408.1092,884.5009,407.7491,407.075,128.3505,407.075,128.3505,0,1925,1,1,"-","-",0,0,0,0,0,0,2.9555,21.3433,603.8158,-61.3005,26.4528,604.6363,-0.1705,0.4515,-0.8758,-0.0511,0.4547,-0.8892,8291,"Fixation"
163192760228,630.5701,418.4979,885.1402,398.7983,11.8135,11.8135,3.091,11.4297,11.4297,3.0202,624.8418,427.7211,631.8479,427.2804,877.8999,407.9935,884.7388,407.8345,402.8997,122.0987,402.8997,122.0987,0,5091,1,1,"-","-",0,0,0,0,0,0,2.9565,21.4273,603.2117,-61.3359,26.4468,604.4125,-0.1816,0.4428,-0.8781,-0.0516,0.4708,-0.8807,8292,"Fixation"
163192777077,630.6066,418.3668,885.2532,398.6285,11.763,11.763,3.088,11.2805,11.2805,3.0109,624.9935,427.1251,631.9858,427.0181,877.9884,407.6455,884.9875,407.361,404.5519,138.9468,404.5519,138.9468,0,3425,1,1,"-","-",0,0,0,0,0,0,2.9173,21.5179,602.6998,-61.3027,26.518,603.6617,-0.1736,0.426,-0.8879,-0.0456,0.4548,-0.8894,8292,"Fixation"
163192793542,630.7016,418.2024,885.3662,398.4907,11.8525,11.8525,3.0893,11.2941,11.2941,3.0039,625.0025,427.0155,631.9965,427.0061,878.296,407.4229,885.1043,407.0172,405.0459,142.9254,405.0459,142.9254,0,2094,1,1,"-","-",0,0,0,0,0,0,2.9125,21.5161,602.2196,-61.3518,26.5882,603.6178,-0.1786,0.4312,-0.8844,-0.0387,0.4453,-0.8945,8292,"Fixation"
163192810105,630.7094,418.0241,885.4473,398.368,11.7652,11.7652,3.0858,11.3094,11.3094,2.9994,625.0104,427.0095,632.0001,427.002,878.4818,407.2741,885.1109,407.0146,405.0618,136.7289,405.0618,136.7289,0,1968,1,1,"-","-",0,0,0,0,0,0,2.9089,21.502,601.7892,-61.4368,26.634,604.217,-0.1799,0.4403,-0.8797,-0.0387,0.4487,-0.8929,8292,"Fixation"
163192826812,631.706,417.3692,886.4244,397.8095,11.6779,11.6779,3.0784,11.3675,11.3675,2.9979,625.74,426.8447,632.7275,426.7266,878.5064,407.2659,885.4925,407.0018,388.9434,102.8556,388.9434,102.8556,0,1924,1,1,"-","-",0,0,0,0,0,0,2.7228,21.5437,601.3973,-61.4185,26.6057,603.523,-0.1967,0.4634,-0.8641,-0.0861,0.4842,-0.8707,8292,"Saccade"
163192843501,632.4361,416.8609,886.8421,397.4015,11.6571,11.6571,3.0721,11.1406,11.1406,2.9848,626.4874,426.4987,633.1601,426.1554,878.721,407.114,885.8811,406.9917,370.7092,69.9906,370.7092,69.9906,0,1975,1,1,"-","-",0,0,0,0,0,0,2.5767,21.6863,602.1308,-61.3716,26.5725,602.3089,-0.2043,0.4665,-0.8606,-0.0953,0.5038,-0.8586,8292,"Fixation"
163192860241,632.581,416.8633,886.9051,397.5092,11.7389,11.7389,3.0715,11.1324,11.1324,2.9726,626.5063,426.6174,633.1545,426.2796,878.7235,407.1203,885.8895,406.9968,358.5254,63.4079,358.5254,63.4079,0,7701,1,1,"-","-",0,0,0,0,0,0,2.5783,21.6832,602.8999,-61.2565,26.5205,601.1649,-0.2126,0.4737,-0.8546,-0.0965,0.4963,-0.8628,8293,"Fixation"
163192876907,632.5091,416.965,887.0663,397.5594,11.7608,11.7608,3.0712,11.1229,11.1229,2.9611,626.1183,426.8794,633.2562,426.5027,878.863,407.1179,886.0867,407.0032,352.8705,59.424,352.8705,59.424,0,2121,1,1,"-","-",0,0,0,0,0,0,2.6105,21.5866,601.9308,-61.1723,26.4651,599.9213,-0.2172,0.4806,-0.8496,-0.0948,0.492,-0.8654,8293,"Fixation"
163192893557,632.3486,417.0257,886.9049,397.6182,11.8085,11.8085,3.0721,11.2481,11.2481,2.9567,626.0164,426.8858,633.2493,426.5027,878.786,407.1168,885.9888,407.0023,355.7382,64.7758,355.7382,64.7758,0,2169,1,1,"-","-",0,0,0,0,0,0,2.619,21.5426,600.7296,-61.0395,26.4175,598.8348,-0.2109,0.4764,-0.8535,-0.0895,0.487,-0.8688,8293,"Fixation"
163192910106,632.2798,416.9933,886.8178,397.545,11.6875,11.6875,3.0668,11.1729,11.1729,2.9487,626.0066,426.8841,632.9971,426.5014,878.7127,407.1229,885.8866,406.999,351.6844,60.8201,351.6844,60.8201,0,1934,1,1,"-","-",0,0,0,0,0,0,2.6506,21.5315,600.4037,-60.9241,26.3768,597.9199,-0.2142,0.4778,-0.8519,-0.0899,0.4907,-0.8667,8293,"Fixation"
163192926822,632.2965,416.8779,886.8445,397.5055,11.5756,11.5756,3.0576,11.1055,11.1055,2.9388,625.9998,426.8844,632.7463,426.5032,878.7023,407.1201,885.6824,407.1042,345.1363,54.9463,345.1363,54.9463,0,2006,1,1,"-","-",0,0,0,0,0,0,2.6855,21.5509,600.9441,-60.8747,26.3546,597.7034,-0.2228,0.4846,-0.8459,-0.0981,0.4964,-0.8625,8293,"Fixation"
163192943493,632.1703,416.8799,886.7079,397.4334,11.6576,11.6576,3.0542,11.1431,11.1431,2.9333,625.8998,426.8746,632.7369,426.4962,878.681,407.1175,885.3334,406.8796,342.8226,53.0745,342.8226,53.0745,0,1994,1,1,"-","-",0,0,0,0,0,0,2.7002,21.5594,601.1262,-60.9238,26.4253,598.6493,-0.2193,0.4841,-0.8471,-0.101,0.4948,-0.8631,8293,"Fixation"
163192961351,631.9414,416.8829,886.5453,397.3435,11.5784,11.5784,3.0473,11.0304,11.0304,2.9242,625.5149,426.5038,632.5096,426.484,878.671,407.1151,885.3269,406.8726,342.0484,52.9354,342.0484,52.9354,0,7094,1,1,"-","-",0,0,0,0,0,0,2.7759,21.5945,600.7585,-61.0097,26.4646,599.5136,-0.2213,0.4736,-0.8525,-0.0942,0.5007,-0.8605,8294,"Fixation"
163192977068,631.7736,416.797,886.3426,397.305,11.5106,11.5106,3.0382,10.9565,10.9565,2.9125,625.5044,426.4977,632.4951,426.4869,878.3332,406.8864,885.4895,406.7406,343.4819,54.1518,343.4819,54.1518,0,3793,1,1,"-","-",0,0,0,0,0,0,2.7775,21.5831,600.4315,-60.8962,26.4693,598.6059,-0.2142,0.4775,-0.8521,-0.0856,0.4907,-0.8671,8294,"Fixation"
163192993527,631.6686,416.9367,886.3645,397.1673,11.6622,11.6622,3.0382,10.961,10.961,2.9022,625.4988,426.5028,632.2828,426.2889,878.115,406.9996,885.3196,406.8675,341.8113,53.7014,341.8113,53.7014,0,2671,1,1,"-","-",0,0,0,0,0,0,2.8069,21.6223,600.8378,-60.7463,26.3951,597.6108,-0.2124,0.4653,-0.8593,-0.0998,0.5063,-0.8566,8294,"Fixation"
163193010106,631.4113,416.9521,886.2761,397.2635,11.8042,11.8042,3.0456,11.0178,11.0178,2.8957,625.4768,426.5039,632.1525,426.2755,878.1098,406.9991,885.3137,406.8662,342.0106,53.7968,342.0106,53.7968,0,3000,1,1,"-","-",0,0,0,0,0,0,2.8298,21.6514,601.6022,-60.6514,26.3547,596.6906,-0.2034,0.4646,-0.8619,-0.0936,0.4991,-0.8615,8294,"Fixation"
163193026833,631.4729,416.9125,885.8915,397.324,11.7407,11.7407,3.049,11.1987,11.1987,2.8998,625.3827,426.5117,632.1614,426.1513,878.1028,407.0001,884.7399,406.8325,342.4903,55.6301,342.4903,55.6301,0,3483,1,1,"-","-",0,0,0,0,0,0,2.8421,21.6783,601.941,-60.6867,26.407,597.7666,-0.2086,0.464,-0.8609,-0.0886,0.495,-0.8644,8294,"Saccade"
163193043508,632.2069,415.629,886.3961,396.3344,12.7988,12.7988,3.1007,12.4589,12.4589,2.9627,625.2893,426.144,632.4959,425.6331,877.7346,406.8326,884.6881,406.1231,321.6022,-6.7103,321.6022,-6.7103,0,2890,1,1,"-","-",0,0,0,0,0,0,2.8064,21.7494,600.8211,-60.6234,26.5119,597.6572,-0.2468,0.5081,-0.8252,-0.1338,0.531,-0.8367,8294,"Saccade"
163193060214,631.7116,415.6025,887.0304,395.6523,12.1964,12.1964,3.1144,11.9525,11.9525,2.9888,625.5114,425.7448,632.4974,425.497,877.715,406.565,885.0918,406.0036,315.2936,-29.9619,315.2936,-29.9619,0,4264,1,1,"-","-",0,0,0,0,0,0,2.7767,21.8057,600.504,-60.5247,26.4954,596.2013,-0.214,0.4942,-0.8426,-0.163,0.5612,-0.8115,8295,"Saccade"
163193076896,631.679,415.1074,886.0208,395.866,12.0961,12.0961,3.1205,11.9199,11.9199,3.0082,625.1636,425.7191,632.1535,425.2629,877.87,406.1216,884.9977,406.0011,331.4073,-21.8015,331.4073,-21.8015,0,3358,1,1,"-","-",0,0,0,0,0,0,2.8626,21.8273,600.1955,-60.4736,26.526,595.6274,-0.2334,0.5133,-0.8259,-0.1008,0.5306,-0.8416,8295,"Saccade"
163193093557,631.1077,414.6833,885.8459,395.6395,12.1271,12.1271,3.1266,12.0333,12.0333,3.0288,625.0073,425.4969,632.0076,425.0162,877.5365,406.2607,884.6832,406.1004,331.6485,-38.0342,331.6485,-38.0342,0,2357,1,1,"-","-",0,0,0,0,0,0,2.8991,21.8747,599.8747,-60.3324,26.4698,595.0353,-0.2144,0.5221,-0.8255,-0.1132,0.552,-0.8261,8295,"Saccade"
163193110106,0,0,901.4727,405.8246,0,0,3.1266,10.9009,10.9009,2.9917,0,0,0,0,877.3024,406.1475,884.505,405.7551,-2,-69.5308,-2,-69.5308,0,1586,-1,1,"-","-",0,0,0,0,0,0,2.8991,21.8747,599.8747,-60.2075,26.4948,594.3106,0,0,0,0,0,0,8295,"Saccade"
163193177021,630.5312,414.2419,885.3462,394.9369,12.5785,12.5785,3.2238,11.42,11.42,2.9864,624.7477,424.8527,631.7562,424.8425,877.5371,405.4982,884.3262,405.1605,339.1294,-44.3035,339.1294,-44.3035,0,3493,1,1,"-","-",0,0,0,0,0,0,2.9608,21.9571,599.308,-60.2853,26.6823,595.0173,-0.1985,0.5229,-0.829,-0.0941,0.5415,-0.8354,8296,"Saccade"
163193193561,630.2194,415.1683,885.0233,395.6613,11.8419,11.8419,3.1978,11.04,11.04,2.9642,624.7198,425.1406,631.5034,424.9998,877.5171,405.9833,884.5132,405.4986,363.0599,7.7418,363.0599,7.7418,0,2319,1,1,"-","-",0,0,0,0,0,0,2.9986,21.9191,599.7978,-60.3013,26.5768,594.9657,-0.1824,0.4868,-0.8542,-0.0679,0.5211,-0.8508,8296,"Fixation"
163193210125,630.215,415.421,884.8795,395.9563,11.6347,11.6347,3.1671,11.0328,11.0328,2.9446,624.4932,425.3687,631.2794,425.1477,877.1452,405.9991,884.499,405.7327,366.5609,23.2409,366.5609,23.2409,0,3161,1,1,"-","-",0,0,0,0,0,0,3.0577,21.8879,600.2423,-60.1332,26.492,593.7751,-0.1933,0.484,-0.8535,-0.0677,0.5095,-0.8578,8296,"Fixation"
163193226818,630.1876,415.6522,884.9038,396.0471,11.6939,11.6939,3.1445,11.1224,11.1224,2.9317,624.1625,425.7205,631.1519,425.2669,877.1175,406.0047,884.4773,405.7527,364.1897,33.6031,364.1897,33.6031,0,2026,1,1,"-","-",0,0,0,0,0,0,3.1141,21.8178,599.9546,-60.0134,26.4388,592.6534,-0.2036,0.4842,-0.8509,-0.0687,0.5036,-0.8612,8296,"Fixation"
163193243492,629.936,415.6644,884.6582,396.0765,11.6729,11.6729,3.1247,11.0609,11.0609,2.9181,624.0075,425.8897,630.9989,425.4992,877.0049,406.0029,884.0982,405.9858,366.5822,28.9921,366.5822,28.9921,0,2085,1,1,"-","-",0,0,0,0,0,0,3.1515,21.7573,599.682,-59.9311,26.4012,592.45,-0.2005,0.4939,-0.8461,-0.0699,0.5087,-0.8581,8296,"Fixation"
163193260228,629.6676,415.8472,884.5376,396.0729,11.6502,11.6502,3.1077,10.7826,10.7826,2.8944,623.9982,425.9887,630.8392,425.7203,876.9944,406.0033,883.8935,405.9873,371.6802,31.297,371.6802,31.297,0,3437,1,1,"-","-",0,0,0,0,0,0,3.1741,21.7265,599.9426,-59.9503,26.4216,592.9084,-0.191,0.4928,-0.8489,-0.0696,0.5094,-0.8577,8297,"Fixation"
163193277044,629.4615,415.8325,884.394,396.0551,11.492,11.492,3.0864,10.9888,10.9888,2.8846,623.7464,425.8423,630.6357,425.4954,876.702,406.1123,883.737,405.8433,373.4122,34.1042,373.4122,34.1042,0,2208,1,1,"-","-",0,0,0,0,0,0,3.232,21.776,600.0169,-59.8917,26.4246,592.8806,-0.1905,0.4839,-0.8542,-0.074,0.5096,-0.8572,8297,"Fixation"
