"Time","L Raw X [px]","L Raw Y [px]","R Raw X [px]","R Raw Y [px]","L Dia X [px]","L Dia Y [px]","L Mapped Diameter [mm]","R Dia X [px]","R Dia Y [px]","R Mapped Diameter [mm]","L CR1 X [px]","L CR1 Y [px]","L CR2 X [px]","L CR2 Y [px]","R CR1 X [px]","R CR1 Y [px]","R CR2 X [px]","R CR2 Y [px]","L POR X [px]","L POR Y [px]","R POR X [px]","R POR Y [px]","Timing","Latency","L Plane","R Plane","L Object Hit","R Object Hit","H POS X [mm]","H POS Y [mm]","H POS Z [mm]","H ROT X [°]","H ROT Y [°]","H ROT Z [°]","L EPOS X","L EPOS Y","L EPOS Z","R EPOS X","R EPOS Y","R EPOS Z","L GVEC X","L GVEC Y","L GVEC Z","R GVEC X","R GVEC Y","R GVEC Z","Frame","Event Info"
99417983818,601.3366,351.1402,857.4708,354.6973,11.7426,11.7426,3.1916,11.9214,11.9214,3.2331,598.7666,361.8421,604.7843,361.6701,849.8638,364.8484,856.2022,364.8926,513.191,232.7175,513.191,232.7175,0,2597,1,1,"-","-",0,0,0,0,0,0,10.1064,39.7132,628.7451,-56.2135,38.8122,627.4971,-0.1074,0.3911,-0.9141,0.0173,0.4305,-0.9024,3864,"Saccade"
99418000443,605.3419,350.9001,861.1346,354.4451,11.7333,11.7333,3.1945,11.9404,11.9404,3.2398,601.5166,361.4959,607.6614,361.3272,852.3443,364.8787,858.4898,364.7389,436.6387,222.6592,436.6387,222.6592,0,2538,1,1,"-","-",0,0,0,0,0,0,9.3738,39.8521,629.5037,-56.9103,38.8753,628.2473,-0.1608,0.386,-0.9084,-0.0467,0.449,-0.8923,3864,"Saccade"
99418017246,609.0748,350.5861,864.5385,354.5815,11.7675,11.7675,3.1984,11.7742,11.7742,3.2358,604.5245,361.0097,610.8693,361.0067,855.0126,365.111,861.6964,364.7009,401.7351,219.125,401.7351,219.125,0,2407,1,1,"-","-",0,0,0,0,0,0,8.5496,39.9512,629.3896,-57.5587,38.7622,626.8478,-0.1863,0.3835,-0.9045,-0.0677,0.4472,-0.8919,3864,"Saccade"
99418033832,610.597,350.0278,866.4556,354.6497,11.778,11.778,3.2019,11.8678,11.8678,3.2374,606.1171,360.9896,612.4956,360.9923,857.0217,365.0084,863.3052,364.8747,396.3996,203.9032,396.3996,203.9032,0,19416,1,1,"-","-",0,0,0,0,0,0,8.1206,39.9406,629.1513,-58.0557,38.7673,627.0724,-0.1808,0.4084,-0.8947,-0.0726,0.4457,-0.8923,3864,"Saccade"
99418053262,612.8046,349.7912,868.49,354.739,11.9678,11.9678,3.2134,11.8697,11.8697,3.2391,608.2878,360.2879,614.8249,360.1464,859.0259,365.0155,865.3041,364.8776,393.9898,215.1383,393.9898,215.1383,0,11085,1,1,"-","-",0,0,0,0,0,0,7.5154,40.0919,628.3186,-58.6047,38.7801,627.3001,-0.1794,0.382,-0.9066,-0.0732,0.4407,-0.8947,3864,"Saccade"
99418067308,614.9098,349.4898,870.6252,354.8631,11.8474,11.8474,3.217,11.9679,11.9679,3.2447,610.3388,360.1211,616.6363,360.0071,861.1331,365.1244,867.6419,365.1154,391.9501,209.2168,391.9501,209.2168,0,3427,1,1,"-","-",0,0,0,0,0,0,7.0069,40.143,628.4803,-59.1257,38.6911,626.6045,-0.1855,0.3899,-0.902,-0.0677,0.4428,-0.8941,3865,"Saccade"
99418083894,617.1783,349.1284,872.9085,355.2336,11.8912,11.8912,3.223,11.9422,11.9422,3.2482,612.8924,359.8824,618.998,359.6448,863.3322,365.7678,869.6617,365.3203,388.5474,113.0542,388.5474,113.0542,0,3849,1,1,"-","-",0,0,0,0,0,0,6.3669,40.2831,629.4239,-59.6868,38.5832,626.6624,-0.1766,0.3925,-0.9026,-0.0759,0.4471,-0.8912,3865,"Fixation"
99418100656,619.4917,348.6347,875.2345,355.6342,11.797,11.797,3.2232,11.952,11.952,3.2515,615.0178,359.1124,621.3529,359.0107,865.94,365.9993,872.2857,365.8747,389.6853,114.2733,389.6853,114.2733,0,3782,1,1,"-","-",0,0,0,0,0,0,5.7733,40.464,629.3541,-60.3744,38.4785,626.6439,-0.1794,0.3826,-0.9063,-0.0604,0.4455,-0.8932,3865,"Fixation"
99418117240,621.7884,348.0321,877.3904,355.8609,11.7968,11.7968,3.2226,12.0639,12.0639,3.2596,617.3282,358.7718,623.8388,358.8446,868.0482,366.1235,874.4582,365.9972,390.6757,110.8514,390.6757,110.8514,0,4984,1,1,"-","-",0,0,0,0,0,0,5.1326,40.4827,628.6075,-60.912,38.4292,626.3719,-0.1734,0.3981,-0.9008,-0.0598,0.4387,-0.8966,3865,"Fixation"
99418133924,623.886,347.3013,879.5526,355.9404,11.966,11.966,3.23,12.1214,12.1214,3.2684,619.3441,357.8827,625.8384,357.8558,870.1199,366.5072,876.6374,366.1213,390.0635,109.0207,390.0635,109.0207,0,9879,1,1,"-","-",0,0,0,0,0,0,4.5972,40.69,627.9769,-61.4071,38.3217,625.7103,-0.1768,0.3878,-0.9047,-0.0611,0.4494,-0.8912,3865,"Fixation"
